title,rel_year,director,producer,studio,prc,cat,award,lc
The Preacher\\'s Wife,1996,P.Marshall,John Jacobson,Touchstone,col,,,baseball fields sports mil.inst
Final Analysis,1992,Joanou,John Jacobson,Warners,col,susp,,Manhattan city
Mr.~Frost,1990,Setbon,John Jacobson,Warners,col,susp,,Manhattan city hospital
Girl on the Bridge,2000,Leconte,John Jacobson,Triton,col,dram,,Manhattan city hospital am.park
Merret Oppenheim,1990,RobertsonPearce,John Jacobson,Imago,col,biop,,Manhattan city hospital am.park
A Story of Boys and Girls,1990,Avati,John Jacobson,Imago,col,romt,,Manhattan city hospital am.park school
The Wedding,1999,Lungin,John Jacobson,Imago,col,hist,Palm,Manhattan city hospital am.park school
Cliffhanger,1993,Harlin,J.Silver,Tristar,col,advt,Palm,Rockies mountains
Er\\'endira,1991,Guerra,J.Silver,Television Espanola,col,dram,Palm,Rockies mountains
Trouble Behind,1990,R.Henson,J.Silver,Television Espanola,col,dram,Palm,Rockies mountains
Striking Distance,1992,Herrington,Hunt Lowry ,Columbia,col,actn,Palm,Rockies mountains bar sports river
Boomerang,1992,R.Hudlin,Warrington Hudlin,Paramount,col,,Palm,NYC city
Write to Kill,1990,Preuss,Bonnie Sugar,Paramount,col,,Palm,NYC city
A Few Good Men,1992,Regan,Bonnie Sugar,Columbia,col,,Palm,Washington mil.inst. city
Graveyard Shift,1990,R.S.Singleton,Bonnie Sugar,Columbia,col,horr,Palm,Washington mil.inst. city
Karol Bardosh,1991,Rita~Gam,Bonnie Sugar,Columbia,col,biop,Palm,Washington mil.inst. city
Twelfth Night,1990,Wertheim,Bonnie Sugar,Cendem,col,18+,Palm,Washington mil.inst. city
Teenage Mutant Ninja Turtles 3,1994,Barron,Bonnie Sugar,NewLine,col,,Palm,Manhattan city
La Luna en el Espejo,1990,Caiozzi,Caiozzi,NewLine,col,dram,Palm,Manhattan city home
The Color of Pomegranates,1990,Parajanov,Caiozzi,NewLine,col,dram,Palm,Manhattan city home
Mr. Magoo,1998,Tong,Caiozzi,Disney,col,actn,Palm,Hong Kong city
Nothing to Loose,1997,Oedekerk,Caiozzi,Disney,col,,Palm,Hong Kong city
Distant Voices; Still Lives,1990,T.Davies,Caiozzi,Disney,col,,Palm,Hong Kong city
Night of the Living Dead,1990,Savin,Caiozzi,Disney,col,horr,Palm,Hong Kong city
Rosenkrantz and Guildenstern are Dead,1990,Stoppard,Caiozzi,Disney,col,dram,Palm,Hong Kong city palace
Satan,1990,Aristov,Caiozzi,Disney,col,dram,Palm,Hong Kong city palace
Grim Prarie Tales,1990,W.Coe,Caiozzi,Disney,col,dram,Palm,Hong Kong city palace
Pool of Thanatos,1990,McCandless,Caiozzi,Disney,col,,Palm,Hong Kong city palace
Chloe,1998,Stillman,Caiozzi,CastleRock,col,romt,Palm,NYC home train bar
Journey of Hope,1990,Koller,Caiozzi,CastleRock,col,dram,Palm,NYC home train bar
Sexual Response,1992,Yosha,Ashol Amitraj,Vision,col,romt,Palm,L.A. city
A Rough Sketch of a Spiral,1990,Kojima,Ashol Amitraj,Vision,col,romt,Palm,L.A. city
Shower,2000,Y.Zhang,Ashol Amitraj,Vision,col,romt,Palm,Bejing palace public
Jetsons: The Movie,1990,UnYear90,P. Henson,Hanna-Barbara,col,,Palm,Bejing palace public public
Vito e gli Altri,1991,Capuano,P. Henson,Hanna-Barbara,col,,Palm,Bejing palace public public
Ta Dona,1991,Drabo,P. Henson,Hanna-Barbara,col,,Palm,Bejing palace public public
Imaginary Crimes,1991,Drazan,Janet Yang,Hanna-Barbara,col,dram,Palm,Portland town
Just Cause,1995,Glimcher,Steve Perry,Warners,tcol,susp,Palm,Portland town
With Honors,1994,Keshishian,Amy Robinson,Warners,col,,Palm,Portland town theater
The Talented Mr. Ripley,2000,Minghella,Saul Zaentz,Miramax,col,,,Rome resort city
Do or Die,1991,Sitaris,Arlene Sitaris,Miramax,col,18+,,Rome resort city
Star Time,1991,Cassini,Arlene Sitaris,Miramax,col,18+,,Rome resort city
Hoodlum,1997,B.Duke,Mancusi~jr.,U.A,col,cnr,,Haarlem slum
The Puerto Rican Mambo (not a Musical),1991,Model,Mancusi~jr.,Cabriolet Films,col,docu,,NYC city
Post Coitum,1998,Rouan,Paul E. Cohen,Aries,col,romt,,NYC city
Wild Wild West,1999,Sonnenfeld,deVito,MGM/UA,col,,,Manhattan city
X-Men,2000,B.Singer,deVito,MGM/UA,col,s.f.,,Manhattan city
Body Talk,1991,Nube,deVito,MGM/UA,col,s.f.,,Manhattan city
CrissCross,1992,Menges,deVito,MGM/UA,col,dram,,Key West resort
The Little Prince Said,1991,C.Pascal,deVito,MGM/UA,col,dram,,Key West resort
Bad Company,1994,Dm.Harris,deVito,MGM/UA,col,dram,,Key West resort
Future Kick,1991,Klaus,Corman,MGM/UA,col,s.f.,,Key West resort
Jason\\'s Lyric,1994,McHenry,McHenry,Gramercy,col,dram,,Key West resort city
1991: The Year Punk Broke,1991,D.Markey,McHenry,Gramercy,col,docu,,Key West resort city
Out of Sight,1993,D.Sutherland,D.Sutherland,Gramercy,col,dram,,Key West resort city
The Naked Gun 2 1/2: The Smell of Fear,1991,Zucker,Bob Weiss,Paramount,tcol,actn,,Washington city
The Quarrel,1991,E.Cohen,Bob Weiss,Paramount,tcol,dram,,Washington city
Tales from the Crypt: Demon Knight,1995,Dickerson,Gilbert Adler,Universal,col,horr,,Washington city
Brute Charm,1991,Breer,Gilbert Adler,Universal,col,horr,,Washington city
Yi Yi,1999,Yang,Gilbert Adler,Universal,col,dram,Palm,Tapei city
Scissors,1991,DeFelitta,Gilbert Adler,Universal,col,dram,,Tapei city
Curse II; The Bite,1991,Goodwin,Kenichi Tominaga. Frederico Prorperi,Universal,col,horr,,Tapei city csd
After Shock,1991,F.Harris,Roy McAree,Universal,col,s.f.,,Tapei city csd
Three Days To A Kill,1991,F.williamon,F.williamon,21st Century,col,actn,,Dallas city city
Hearts of Darkness,1991,Bahr,Les Mayfield,Triton,col,docu,,Dallas city city movies
London Kills Me,1992,Kureishi,Les Mayfield,Triton,col,docu,,London city
Im Kreise der Lieben,1991,Huntgeburth,Les Mayfield,NDR,col,noir,,Hamburg city
The Nightmare Before Christmas,1993,Selick,T.Burton,Touchstone,col,,,Hamburg city town
China Moon,1994,Bailey,Berrie M. Osborne,UA,col,susp,,Hamburg city town town
Wings of the Dove,1997,Softley,Par Levatt,UA,col,romt,,Venice city city
In the Shadow of the Stars,1991,Scaraf,Par Levatt,UA,col,docu,AA,Venice city city theater
Higher Learning,1993,J.Singleton,Paul Hall,Columbia,col,dram,AAN,South L.A. city roads school
At First Sight,1999,I.Winkler,Paul Hall,Columbia,col,dram,AAN,S.F. city city resort city
In Sog der Angst,1991,Ruzicka,Manfred Dumick,Columbia,col,susp,AAN,S.F. city city resort city
Things You Can Tell Just by Looking at Her,2000,Avnet,John Kerner,Touchstone,col,,AAN,Birmingham city
The Room,1991,Balsmeyer,John Kerner,Touchstone,col,dram,Palm,NYC home
A Kiss Before Dying,1991,J.Dearden,John Kerner,Touchstone,col,horr,Palm,NYC home
The Marying Man,1991,Rees,John Kerner,Touchstone,col,,Palm,NYC home
Run of the House,1991,Felter,John Kerner,Touchstone,col,,Palm,Washington city
Paris is Burning,1991,Livingston,John Kerner,Touchstone,col,docu,Palm,Washington city bar
Home for the Holidays,1995,J.Foster,John Kerner,Orion,col,,Palm,Washington city bar
Impromptu,1991,Lapine,John Kerner,Orion,col,romt,Palm,Paris city
Wildfeuer,1991,Baier,John Kerner,Bavaria,fcol,biop,Palm,Chicago city
Kolya,1997,Sverak,John Kerner,Bavaria,col,romt,Palm,Prague city
Hangin\' with the Homeboys,1991,Vasquez,John Kerner,Bavaria,col,docu,Palm,Harlem slum
Toto le H\\'eros,1992,VanDormael,John Kerner,Real,col,dram,Palm,Harlem slum
Austin Powers; The Spy Who Shagged Me,1999,J.Roach,John Kerner,New Line,col,cnr,,Harlem slum
Robin Hood: Prince of Thieves,1991,K.Reynolds,Jim Wilson,Paramount,col,dram,,Harlem slum
Strictly Business,1991,Hooks,Pam Gibson,Warners,col,,,NYC city
Bounty Hunter,1991,K.Anderson,Pierre David,Warners,col,actn,,L.A. city
Carmen,1992,Lr.Anderson,Pierre David,Warners,tv,romt,,L.A. city work roads home
Rush,1991,L.F.Zanuck,R.Zanuck,MGM,tv,dram,,L.A. city work roads home town
Sao Paulo; S.A.,1991,Person,R.Zanuck,MGM,tv,dram,,Sao Paulo city city
Paradise,1991,Donoghue,R.Zanuck,Buena Vista,col,romt,,Sao Paulo city city
A Midsummer Nights Dream,1999,M.Hoffman,M.Hoffman,Fox Searchlight,col,,,London city
Mobsters,1991,Karbelnikoff,M.Hoffman,Fox Searchlight,col,actn,,London city
Dangerous Toys,1991,Kitrosser,Brian Yuzna,Still Silent Films,col,horr,,London city town
Ostkreuz,1991,Klier,Brian Yuzna,Still Silent Films,col,horr,,London city town
Amazonia: Voices from the Rainforest,1991,Aguirre,Brian Yuzna,Colossal,col,docu,,Amazon river
Posse,1993,MrVanPeebles,Jim Steele,Gramercy,col,west,,NYC city
The King and I,1999,M.Rich,Peter Bakalian,Warners,col,,,Martha\\'s Vineyard resort
I Thought It Was Love,1991,Troisi,Peter Bakalian,Warners,col,,,Martha\\'s Vineyard resort
Toubab Bi,1991,Toure,Peter Bakalian,Warners,col,,,Martha\\'s Vineyard resort
Kurt and Courtney,1998,Broomfield,Peter Bakalian,Warners,col,docu,,Seattle town city
Chicken Run,2000,Park,Pter Lord,Warners,col,,AA,Seattle town city
Dom Ne Peske,1991,Adomenaite,Pter Lord,Lensfilm,col,dram,AA,Seattle town city csd
"Gizli Y\""uz",1991,Kavur,Pter Lord,Alfa,col,,AA,Seattle town city csd csd
Cheerleaders,1991,Glickler,Glickler,Alfa,col,18+,AA,Seattle town city csd csd
Bill and Ted\'s Bogus Journey,1991,Hewitt,Glickler,Orion,deluxe,,AA,L.A. afterlife afterlife city
Fathers and Sons,1991,Mones,Glickler,Pacific,deluxe,,AA,L.A. afterlife afterlife city
The Pope Must Die[t],1991,P.Richardson,Stephen Wooley,Pacific,col,,AA,L.A. afterlife afterlife city
The Beverly Hillbillies,1993,Spheeris,Stephen Wooley,Pacific,col,,AA,Hollywood town
The Super,1991,Daniel,Stephen Wooley,Pacific,col,dram,AA,Hollywood town
The Patriot,2000,Emmerich,Dean Devlin,Columbia,col,hist,AA,NYC city csd
Before Sunset,2004,Linklater,Dean Devlin,Columbia,col,romt,AA,Paris city
The `O\' Case,1991,R.Simon,Dean Devlin,Columbia,col,romt,AA,Paris city
City Slickers,1991,Underwood,Dean Devlin,Columbia,col,,,NYC city csd
The Ballad of the Sad Cafe,1991,Callow,Dean Devlin,Columbia,col,dram,,NYC city csd town
The Crossing Guard,1994,S.Penn,Dean Devlin,Columbia,col,dram,,NYC city csd town
Bloody Morning,1991,Li,Tian YuPing,Peking Film Studio,col,dram,,NYC city csd town csd
I Love You; I Love You Not,1997,S.Hopkins,Richard Lewis,Universal,col,dram,,Cape Cod town city csd
Knock Off,1998,Lettich,vanDamme,Imperial,deluxe,actn,,Hong Kong city
The Cherry Orchard,1991,Nakahara,vanDamme,Imperial,deluxe,actn,,Hong Kong city
Adaptation,2002,Jonze,vanDamme,Imperial,prc,,AAN,Hong Kong city
Paris; Roman d\'une Ville,1991,S.Neumann,vanDamme,Imperial,bnw,docu,AAN,Paris city
My New Gun,1992,Cochran,vanDamme,IRS Media,col,dram,AAN,Paris city town
The Iron Giant,1999,T.Hughes,Lauren Lloyd,Warners,tcol,,AAN,NYC resort city
Fireworks,1998,Kitano,Lauren Lloyd,Warners,tcol,,AAN,NYC resort city
Holy Matrimony,1994,T.L.Wallace,Lauren Lloyd,Buena Vista,tcol,dram,AAN,NYC resort city island law public
And You Thought Your Parents Were Weird,1991,Cookson,Lauren Lloyd,Buena Vista,tcol,dram,AAN,NYC resort city island law public
Piano Piano Bacaksiz,1991,Basaran,Lauren Lloyd,Cicek,col,romt,AAN,NYC resort city island law public homey
"Meine Tochter geh\""ort mir",1991,Naefe,Regina Ziegler,Cicek,ecol,dram,AAN,NYC resort city island law public homey
Chameleon Street,1991,W.Harris,Regina Ziegler,Cicek,ecol,dram,AAN,NYC resort city island law public homey
Murder in New Hampshire,1991,UnYear91,Regina Ziegler,Goldwyn,col,dram,AAN,NYC resort city island law public homey
Four Rooms,1995,Anders,Lawrence Bender,Miramax,col,,AAN,NYC resort city island law public homey home slum hotel
Menace II Society,1992,Alb.Hughes,All.Hughes,NewLine,col,dram,AAN,NYC resort city island law public homey home slum hotel slum
The Moneytree,1992,Dienstag,All.Hughes,NewLine,col,actn,AAN,NYC resort city island law public homey home slum hotel slum
Like Water for Chocolate,1992,Arau,Arau,Miramax,col,romt,AAN,NYC resort city island law public homey home slum hotel slum
Fanfan,1992,Jardin,Arau,Miramax,col,romt,AAN,NYC resort city island law public homey home slum hotel slum
Voyage of Terror,1992,Negrin,Arau,Miramax,tv,docu,AAN,NYC resort city island law public homey home slum hotel slum ship
Split: William to Chrysis,1992,Weeks,Ellen Fisher Turk,Miramax,col,biop,AAN,NYC city
Traces of Red,1992,Wolk,David V. Picker,Goldwyn,col,18+,AAN,NYC city
Moulin Rouge,2001,Luhrmann,Martin B,Goldwyn,col,romt,AA,Moulin Rouge theater
Mr.~Saturday Night,1992,Crystal,Crystal,Goldwyn,col,,AA,Moulin Rouge theater resort
Anna Karenine,1996,B.Rose,Bruce Davey,Columbia,col,biop,AA,Bonn town
Swept from the Sea,1998,Kidron,Peggy Raiski,Largo,col,dram,AA,Queens town
The Flintstones,1994,Levant,J.Hughes,Universal,col,,AA,Queens town town town town
The Favor; the Watch; and the Very Big Fish,1992,B.Lewin,J.Hughes,Universal,col,,AA,Queens town town town town
Hideaway,1995,B.Leonard,J.Hughes,Universal,col,susp,AA,Queens town town town town
Bebe\'s Kids,1992,B.Smith,Thomas L. White,Paramount,col,,AA,Queens town town town town
Mistress,1992,Primus,Thomas L. White,Paramount,col,,AA,Hollywood town
One False Move,1992,C.Franklin,Thomas L. White,IRS Media,col,cnr,AA,Star City city city town
That Night,1992,Bolotin,Arnon Milchan,Alcor,col,romt,AA,Star City city city town
Amityville 1992: It\'s About Time,1992,Randel,Christopher deFaria,Alcor,col,horr,AA,Star City city city town town
Fairy Tale: A True Story,,Sturridge,Derek Granger,Sovereign,col,,AA,Tuscany csd
La seperation,1998,C.Vincent,Derek Granger,Sovereign,col,dram,AA,Tuscany csd
Strangers in Good Company,1992,C.Scott,Derek Granger,Nat.Film Board of Canada,col,dram,AA,Tuscany csd train
Unbecoming Age,1992,Ringel,Alfredo Ringel,Nat.Film Board of Canada,col,romt,AA,Tuscany csd train
The Game,1997,Fincher,W.Hill,Fox,col,actn,AA,Tuscany csd train jail
Dangerous Ground,1997,Roodt,W.Hill,Fox,col,dram,AA,Soweto town
Hercules Returns,1992,D.Parker,W.Hill,Fox,col,,AA,Soweto town
Needful Things,1993,D.Price,W.Hill,NewLine,col,horr,AA,Soweto town
Politics,1992,Roe,E.Pressman,Fox,col,dram,AA,Soweto town
Emmanuelle 7,1992,Leroi,Allan Siritski,Golan,col,s.f.,AA,Soweto town palace
Buffy the Vampire Slayer,1992,Kuzui,Howard Rosenman,Fox,col,horr,AA,Soweto town palace
Final Round,1993,Erschbamer,Robert Vince,Fox,col,actn,AA,Soweto town palace
National Lampoon\'s Loaded Weapon 1,1992,Quintano,Robert Vince,NewLine,col,,AA,Soweto town palace
Padma Nadir Majhi,1994,Ghose,Robert Vince,Ashirbad,col,docu,AA,Ganga river
Romper Stomper,1992,G.Wright,Robert Vince,Ashirbad,col,actn,AA,Melbourne city
Hideous Kinky,1999,MacKinnon,Robert Vince,Ashirbad,col,biop,AA,London city
Mediterraneo,1992,Salvatores,Robert Vince,Ashirbad,col,biop,AA,Aegean Island island
Of Mice and Men,1992,Sinisi,Gary Sinisi,MGM,col,dram,AA,Soledad town
Wisecracks,1992,G.Singer,Gary Sinisi,MGM,col,,AA,Soledad town
Last Station,1994,Katchatrian,Nora Armani,Armenfilm,col,biop,AA,Armenia csd
Hunger,1992,Carlsen,Nora Armani,Armenfilm,col,dram,AA,Armenia csd
Schtonk,1992,Dietl,Nora Armani,Bavaria,col,,AA,Armenia csd
Krieg-Verwaltigungen-Kinder,1992,Sander,Nora Armani,Bremer Institute,bnw,docu,AA,Armenia csd
The Public Eye,1992,H.Franklin,Nora Armani,Bremer Institute,bnw,docu,AA,NYC city
Five Girls and a Rope,1992,Yeh,Nora Armani,Bremer Institute,bnw,dram,AA,NYC city
Samba Traore,1992,Ouedraogo,Nora Armani,Bremer Institute,bnw,dram,AA,NYC city
Project Shadowchaser,1992,Eyres,Eyres,EGM,col,s.f.,AA,NYC city
The Dead Man 2: Return of the Dead Man,1994,Kerkhof,Eyres,EGM,col,,AA,NYC city
The Chameleons,1992,Leslie,Leslie,VGA,col,18+,AA,NYC city
Mighty Joe Young,1999,Musker,Ron Clements,Disney,col,advt,AA,Thebes city
Sex Symphony,1992,Alexander,Alexander,VGA,col,18+,AA,Thebes city town
Beck,1992,Bijl,Rolf Orthel,Filmcase BV,col,cnr,AA,Thebes city town
Celine,1992,Brisseau,Rolf Orthel,Filmcase BV,col,cnr,AA,Thebes city town
Daughters of the Dust,1992,Dash,Rolf Orthel,Filmcase BV,col,cnr,AA,Thebes city town
Diabolique,1996,Chechik,James G.\ Robinson,Warners,col,susp,AA,Thebes city town school
L\'Etat des Lieux,1992,Richet,James G.\ Robinson,Warners,col,susp,AA,Thebes city town school
Cross my Heart,1992,Fansten,James G.\ Robinson,Warners,col,susp,AA,Thebes city town school
King Lear,1997,Goddard,James G.\ Robinson,TF2,tv,hist,AA,Rome city
A Thousand Acres,1997,Moorhouse,Redford,Polygram,col,dram,AA,Rome city csd
Thank You and Goodnight,1992,Oxenberg,Redford,Polygram,col,biop,AA,NYC city
Jakub,1992,Sevcikova,Redford,Polygram,col,biop,AA,NYC city
Bangkok Hilton,1992,K.Cameron,Redford,Polygram,tv,biop,AA,Bangkok city
A Midnight Clear,1992,K.Gordon,Redford,Polygram,col,dram,AA,Ardennes mountains
Hocus Pocus,1993,Ortega,Steven Haft,Disney,col,,AA,Salem town
Rain Killer,1992,K.Stein,Rodman Flender,Calfilm,col,actn,AA,L.A. city
In the Mood for Love,2000,Wong,Rodman Flender,Calfilm,col,actn,AA,Buenos Aires city
Apres la vie,2004, L.Belvaux,Rodman Flender,Calfilm,prc,dram,AA,Grenoble city
Gito the Ungrateful,1992,Ngabo,Rodman Flender,Calfilm,prc,dram,AA,Grenoble city
The Inland Sea,1992,Carra,M.Cotnoir,Voyager,col,docu,AA,Grenoble city islands
Afraid of the Dark,1992,M.Peploe,M.Cotnoir,Voyager,col,horr,AA,London city
The Shining,1997,Garris,Mark Carliner,ABC,tv,tv,AA,Las Vegas town town
House of Cards,1992,Lessac,Wolfgang Glattes,ABC,col,dram,AA,Las Vegas town town
The Fall Guy,1992,Mitz,Vittoria Principal,Globus,col,dram,AA,Las Vegas town town
Danzon,1992,Novaro,Vittoria Principal,Globus,col,romt,AA,Las Vegas town town bar town
Children of the Dark,1992,Switzer,Richard L. OConnor,Globus,col,dram,AA,Las Vegas town town bar town
Cremaster 5,1992,Barney,Richard L. OConnor,Globus,col,,AA,Las Vegas town town bar town
Claire of the Moon,1992,Conn,Richard L. OConnor,Globus,col,18+,AA,Las Vegas town town bar town
The Waterdance,1992,Jimenez,Richard L. OConnor,Globus,col,biop,AA,Las Vegas town town bar town hospital
Pain of Love,1992,Malmros,Per Holst,Globus,col,romt,AA,Las Vegas town town bar town hospital
You\'ve got Mail,1998,N.Ephron,Kathryn Galan,Warners,col,romt,AA,Upper West Side city
Household Saints,1992,Svoboda,Kathryn Galan,Warners,col,romt,AA,NYC city
The Mighty,1998,Chelsom,Kathryn Galan,Warners,col,dram,AA,NYC city theater
Miss Beatty\'s Children,1992,Rooks,Kathryn Galan,National Film Development Corp.,col,dram,AA,NYC city theater school
Jackie Brown,1997,Tarantino,Kathryn Galan,Miramax,col,dram,AA,L.A. city
Man Bites Dog,1992,R.Belvaux,Kathryn Galan,Miramax,bnw,actn,AA,L.A. city
You; Me; and Marley,1992,Spence,Chris Parr,BBC,col,dram,AA,L.A. city
Night Eyes II,1992,R.MacDonald,Ashok Amitrai,BBC,col,cnr,AA,L.A. city
Gather at the River,1994,Mugge,Mugge,Mug Shot,col,docu,AA,L.A. city csd
La Vita e Bella,1998,Benigni,Mugge,Mug Shot,col,dram,AA,Tuscany csd
The Faculty,1998,Rodriguez,Mugge,Columbia,col,horr,AA,Tuscany csd town csd school
The Linguini Incident,1992,Shepard,Mugge,Columbia,col,horr,AA,Tuscany csd town csd school
The Ghost and the Darkness,1996,Talalay,Paul Schiff,Fox,col,advt,AA,Tuscany csd town csd school
Requiem pour un Beau Sanscoeur,1992,Morin,Paul Schiff,Fox,col,advt,AA,Tuscany csd town csd school
A Dangerous Woman,1993,Gyllenhaal,Paul Schiff,Fox,col,dram,AA,East Anglia city csd csd
Only The Brave,1992,Dolz,Kees Ryninks,Scorpio,col,docu,AA,East Anglia city csd csd sports
Acting It Out,1992,Wartman,Kees Ryninks,Scorpio,col,,AA,East Anglia city csd csd sports roads
South Central,1992,S.Anderson,William B. Sreakley,Scorpio,col,dram,AA,L.A. city
The Ox,1992,Nykvist,William B. Sreakley,Scorpio,col,dram,AA,L.A. city
From the Earth to the Moon,1998,Hanks,Hanks,HBO,tv,,AA,L.A. city town
Life,1999,T.Demme,Hanks,HBO,col,,AA,Charleston town jail
Swoon,1992,Kalin,Hanks,HBO,col,biop,AA,Charleston town jail
Cradle will Rock,2000,T.Robbins,Robbins,Touchstone,col,dram,AA,NYC city
Denial,1992,Verheul,Robbins,Touchstone,col,dram,AA,NYC city
Lovers,1992,Aranda,Robbins,Touchstone,col,romt,AA,NYC city
The Inheritance,1992,Chytilova,Jiri Jezek,Space Film,col,,AA,NYC city csd
A Friend of the Deceased,1998,Krishtofovich,Jiri Jezek,Space Film,col,dram,AA,NYC city csd
Killer Instinct,1992,Napier,Jiri Jezek,Paramount,prc,horr,AA,Venice city town
Der Brocken,1992,Glowna,Jiri Jezek,NDR,col,,AA,Venice city town csd
Passages,1992,Arslan,Jiri Jezek,NDR,col,,AA,Venice city town csd
The Rating Game,1992,UnYear92,Patchett Kaufman,HBO,col,dram,AA,Marion csd
The 92 Minutes of Mr.~Baum,1998,Dayan,Patchett Kaufman,HBO,col,dram,AA,Marion csd
Somebody to Love,1994,Rockwell,Patchett Kaufman,HBO,col,romt,AA,Marion csd
And God Spoke,1993,Borman,Richard Raddon,Brookwwod,col,,AA,Hod csd
Visions of Light: The Art of Cinematography,1993,Glassman,Richard Raddon,Kino,col,docu,AA,Hod csd
Crouching Tiger; Hidden Dragon,2000,A.Lee,Richard Raddon,Kino,col,romt,AAN,New Canaan town
Sidekicks,1993,Norris,Richard Raddon,Triumph,col,romt,AAN,New Canaan town
Knocks at my Door,1993,Saderman,Richard Raddon,Triumph,col,dram,AAN,New Canaan town
The Crush,1993,A.Shapiro,Richard Raddon,Triumph,col,dram,AAN,New Canaan town
Alc\\'a,1993,Grimaldi,Richard Raddon,Triumph,col,dram,AAN,Sicily island
Batman; Mask of The Phantasm,1993,Melniker,Michael Uslan,Warners,col,,AAN,Sicily island
My Life,1993,Rubin,Michael Uslan,Columbia,col,dram,AAN,L.A. city
Macho,1994,Luna,Michael Uslan,Columbia,col,,,L.A. city csd
Knight Moves,1993,Schenkel,Michael Uslan,Republic,col,actn,,L.A. city csd
Fluke,1993,Carlei,Leta Ryslan,MGM/UA ,deluxe,romt,,Rome csd city
Noir et Blanc,1993,Devers,Leta Ryslan,MGM/UA ,deluxe,romt,,Rome csd city
Temptress Moon,1997,Kaige,Leta Ryslan,Miramax,col,dram,AAN,Bejing city
House of Angels,1993,Nutley,Leta Ryslan,Miramax,col,,AAN,Bejing city csd
Mannen Pa Balkongen,1993,Afredson,Hans Lonnerheden,Victoriafilm,col,cnr,AAN,Stockholm city
The War Room,1993,Pennebaker,Chris Hegedus,Victoriafilm,col,docu,AAN,Stockholm city
Frosh,1993,Geller,Chris Hegedus,Victoriafilm,col,docu,AAN,Stanford University school
First Kid,1996,Evans,Gilmore,Disney,col,,AAN,Washington city
Kalifornia,1993,Sena,Gilmore,Polygram,col,horr,AAN,Washington city
Carences,1993,Rozenberg,Jean-Stephanie Michaux,Tokuma ,col,dram,AAN,Washington city
We\'re Back! A Dinosaur Story,1993,D.Zondag,Spielberg?,Tokuma ,col,,AAN,NYC city
Amos and Andrew,1993,Frye,Spielberg?,Tokuma ,col,dram,AAN,NYC city island
RoboCop 3,1993,Dekker,Spielberg?,Tokuma ,col,dram,AAN,NYC city island
Johnny Cien Pesos,1993,Marino,Abdullah Ommidvar,Catalina,col,docu,AAN,Santiago city
x,1996,Amelio,Abdullah Ommidvar,Catalina,col,dram,AAN,Sicily city csd
Tito and Me,1993,Markovic,Abdullah Ommidvar,Catalina,col,biop,AAN,Belgrade city
Like a Bride,1993,Schyfter,Abdullah Ommidvar,Catalina,col,dram,AAN,Mexico City city
Sankofa,1993,Gerima,Abdullah Ommidvar,Catalina,col,dram,AAN,Mexico City city
Happily Ever After,1993,Howley,Abdullah Ommidvar,Catalina,col,,AAN,Mexico City city
Man\'s Best Friend,1993,Lafia,Abdullah Ommidvar,Catalina,col,,AAN,Mexico City city
Shakespeare in Love,1998,Madden,Harvey Weinstein,Shepperton,col,musc,AAN,London city
The Boys of St.Vincent,1993,J.N.Smith,Harvey Weinstein,CBC,col,dram,AAN,London city school
Barjo,1993,Boivin,Harvey Weinstein,CBC,col,dram,AAN,London city school
Benefit of the Doubt,1993,Heap,Harvey Weinstein,CBC,col,susp,AAN,London city school
Quartier Mozart,1993,Bekolo,Harvey Weinstein,CBC,col,susp,AAN,London city school
Oedipus Rex,1993,Taymor,Harvey Weinstein,CBC,col,susp,AAN,London city school
Disney\'s The Kid,2000,Turteltaub,Michael X,Touchstone,col,dram,AAN,London city school island school
Women -- for America; for the World,1993,Montell,Michael X,Fantasy,col,docu,AAN,London city school island school
Sop\\'Yongyi,1993,Im,Michael X,Tae Hung,col,dram,,London city school island school csd
Bad Behaviour,1993,Blair,Michael X,Tae Hung,col,romt,,Kentish town town
Sniper,1993,Llosa,Michael X,Tae Hung,col,actn,,Kentish town town
Boxing Helena,1993,Je.Lynch,Michael X,Tae Hung,col,18+,,Kentish town town
Floating World,1998,Hatta,Lisa Onodera,Cecile,bnw,dram,,canefields csd
Just Another Girl on the I.R.T.,1993,L.Harris,Lisa Onodera,Cecile,bnw,dram,,canefields csd
Dangerous Beauty,1998,Herskovitz,Lisa Onodera,Cecile,col,dram,,Venice city
Excess Baggage,1997,Brambilla,Lisa Onodera,Cecile,col,susp,,L.A. city
Indian Summer,1993,Binder,Lisa Onodera,Cecile,col,romt,,L.A. city
Go Now,1998,Winterbottom,Lisa Onodera,Cecile,col,dram,,L.A. city
A Far Off Place,1993,Salomon,Lisa Onodera,Disney,col,advt,,Kalahari desert
Braveheart,1995,M.Gibson,Bruce Davey,Warners,col,advt,AA,Kalahari desert csd
Defending Our Lives,1993,M.Lazarus,Bruce Davey,Warners,col,docu,AA,Kalahari desert csd
Ethnic Notions,1993,Riggs,Bruce Davey,Fantasy,col,docu,Emmy,Kalahari desert csd
Bodies; Rest; and Motion,1993,M.Steinberg,,Fine Line,col,,Emmy,Enfield desert
Desert Blue,1998,Freeman,Lawrence Taubman,Paramount,col,dram,,Moroka town town
The Opposite Sex and How to Live with Them,1993,Meshekoff,Lawrence Taubman,Paramount,col,,,Moroka town town
Bank Robber,1993,Mead,Lila Cazes,IRS Media,col,cnr,,Moroka town town hotel
