title,rel_year,dir_name,prod_name,studio_name,prc,cat,award,location,movie_id
Sweetheart,1992,,,,,romt,,,MdV14
Signs of Wonder,1986,Donovan,,,,noir,,,MrD1
Apartment Zero,1989,,Donovan,Skouras,,noir,,,MrD2
Crocodile Dundee,1986,Faiman,Cornell,Paramount,kcol,,H,,PFa1
Dutch,1991,,Richard Rave,Fox,,comd,,,PFa10
Frida: Naturaleza Vida,1986,Leduc,,,,biop,,,PLu10
Critters,1986,R.Harvey,Harvey,NewLine,deluxe,s.f.,,,RHv5
Critters 2,1991,,Harvey,NewLine,,s.f.,,,RHv7
Critters 3,1991,,Harvey,NewLine,,s.f.,,,RHv9
Critters 4,1991,,Harvey,NewLine,,s.f.,,,RHv10
F/X,1986,Mandel,,Orion,tcol,actn,H,Hollywood,RMa10
The Trip to Bountiful,1986,Masterson,,,,romt,,LA,PtM10
Chronos,1986,Fricke,Mark Magdison,,col,epic,,,RnF10
Baraka,1992,,Mark Magdison,,deluxe,epic,,,RnF14
She's Gotta Have It,1987,Spike Lee,,Fox,bnw,comd,Fun,NYC,SLJ1
School Daze,1988,,,,col,,,Atlanta,SLJ2
Do The Right Thing,1989,,Spike Lee,,col,comd,,,SLJ3
`Mo' Better Blues,1990,,Spike Lee,,col,comd,,,SLJ4
Jungle Fever,1991,,Spike Lee,,deluxe,comd,,,SLJ5
New York City,1992,,Spike Lee,,col,,,NYC,SLJ6
Malcolm X,1992,,Spike Lee,Warners,col,biop,,Mecca,SLJ7
Crooklyn,1993,,Spike Lee,Universal,col,romt,,Brooklyn,SLJ8
He Got Game,1998,,John Kilik,40 Acres and a mule,col,dram,,Coney Island,SLJ11
Summer of Sam,1999,,,,,dram,,NYC,SLJ12
The Original Kings of Comedy,2000,,,,,docu,,Charlotte Coliseum,SLJ14
Maximum Overdrive,1986,St.King,,,,horr,,,SpK10
Vera,1986,Toledo,,,,18+,,,STo10
Peking Opera Blues,1986,Hark,,,col,actn,,Peking,TsH10
A Promise,1986,Y.Yoshida,,,,,,,YYo10
I'll Take Manhattan,1986,UnYear86,,,tv,dram,,S.F.,Z8610
Say Yes,1986,,Fount le Roy,,col,comd,,,Z8630
Rita; Sue and Bob Too,1987,A.Clark,,,,comd,,,ACl10
Local Stigmatic,1987,Pacino,Pacino,,,dram,,,AlP10
Looking for Richard,1996,,,,,docu,,NYC,AlP15
Batteries Not Included,1987,A.Robbins,Ronald L. Schway,MCA,col,romt,,NYC,ARb1
Celia,1987,Turner,,,,horr,,,ATu1
Less Than Zero,1987,B.Ellis,,,,,,,BEE10
American Psycho,1989,,,,,,,,BEE15
Johnny Be Good,1987,Bud.Smith,,,,,,,BuS10
Heartbreak Hotel,1988,Columbus,,,,comd,,,CCo2
Home Alone,1990,,J.Hughes,Fox,col,comd,Fun,,CCo3
Only the Lonely,1991,,J.Hughes,,col,romt,,Chicago,CCo4
Home Alone 2: Lost in New York,1992,,J.Hughes,Fox,col,comd,,Plaza hotel,CCo5
Mrs. Doubtfire,1993,,Mark Radcliffe,Fox,col,comd,,S.F.,CCo6
Home Alone 3,1997,,J.Hughes,Fox,col,comd,,,CCo10
Stepmom,1998,,,,,dram,,Manhattan,CCo11
Bicentennial Man,1999,,,,,,,S.F.,CCo12
Harry Potter and the Sorcerer's Stone,2001,,,Warners,col,fant,,Hogwarts,CCo14
The Miracle of Love,1987,Gormley,,,,romt,,Glasgow,CGy10
Couples and Robbers,1987,Peploe,,,,,,,CP1
High Season,1988,,,,,comd,,,CP2
Rough Magic,1995,,,,,fant,VIP,,CP3
The Children of the Helidona,1987,Vrettakos,,,,dram,,,CVr10
Wish You Were Here,1987,Leland,,,,,,,DLe10
House of Games,1987,Mamet,,,,,,,DMa1
Things Change,1988,,,,,romt,,Lake Tahoe,DMa10
The Adventures of Charlie Chan,1991,,John Hyde,Warners,,myst,,,DMa12
Homicide,1991,,,,col,susp,,,DMa13
Oleanna,1993,,,,,romt,,,DMa15
The Spanish Prisoner,1998,,,Sony,,susp,,,DMa20
The Winslow Boy,1999,,,Sony,,dram,,,DMa21
Sister Act,1992,Ardolino,Dawn Steele,,,comd,,,EAr10
Gypsy,1993,,Gilmore,TNT,col,musc,,,EAr12
Dirty Dancing,1987,Bergstein,Linda Gottlieb,Vestron,col,romt,,,ElB10
Das Leben ist ein langer; ruhiger Fluss,1987,Chatiliez,,,,dram,,,EtC20
Tatie Danielle,1990,,,,,dram,,,EtC25
The Haunting of Morella,1990,Wynorski,Corman,,,horr,,,JWy10
976-Evil,1992,,Paul Hertzberg,Cinetel,col,horr,,,JWy15
The Emperor's Naked Army Marches On,1987,Hara,,,,,,,KHa10
Twilight of the Cockroaches,1987,K.Yoshida,,,,cart ,,,KYo1
My Life As a Dog,1987,Hallstrom,,,col,biop,,,LHa1
Once Around,1991,,,,col,comd,,,LHa5
What's Eating Gilbert Grape,1993,,,,col,dram,,Endora,LHa10
The Cider House Rules,1999,,,,,dram,AAN,,LHa16
Chocolat,2000,,David Brown,,,comd,AAN,,LHa17
Theophilos,1987,Papastathis,,,,biop,,,LPs10
La Bamba,1987,Valdez,Bill Borden,,col,musc,RE,,LVa10
Zoot Suit,1995,,,,col,dram,,L.A.,LVa12
Creepshow 2,1987,Gornick,,,,horr,,,MGn10
Murder Ordained,1987,Rob,Phil Parslow,Interscope,col,biop,,Emporia,MkR10
Naga Bonar,1987,Risyaf,,,,,,,MRi10
Nayakam,1987,Rathnam,,,,musc,,,MRz10
A League of their Own,1987,M.Wallace,Kelly Candaele,,,docu,,Chicago,MWl10
The Incredible Hulk,1987,Corea,,,,fant,,,NCo10
The Return of the Incredible Hulk,1988,,,,,fant,,,NCo11
Dark Eyes,1987,Mikhalkov,CarloCucchi,,,romt,,,NMv1
Oblomov,1989,,,,,,,,NMv3
Cllose to Eden,1991,,,,col,dram,,,NMv8
Urga,1992,,,Hachette,col,dram,,,NMv10
Tough Guys Don't Dance,1987,Mailer,,,,dram,,,NoM10
The Running Man,1987,Glaser,,,,horr,,,PMG10
Imagen Latente,1987,Perelman,,,col,dram,,,PPm10
Archipielago,1992,,,,col,dram,,,PPm15
I've Heard the Mermaids Singing,1987,Rozema,Alexandra Raffe,,,fant,RE,Toronto,PRz10
White Room,1991,,,,,romt,,,PRz15
Mansfield Park,1999,,,,,dram,,,PRz22
Radio Bikini,1987,R.Stone,,,,docu,,Bikini island,RtS10
Hollywood Shuffle,1987,Townsend,,Virgin,,comd,Fun,,RtT10
Berlin in Berlin,1993,Getin,,,col,dram,,Berlin,SiG10
Ruby in Paradise,1993,Nunez,,,,,,Panama City,VNu10
Ulee's Gold,1997,,,Orion,col,dram,,,VNu15
Clownhouse,1987,Salva,Coppola,,,horr,,,VSa10
Powder,1995,,Daniel Grodnick ,Hollywood Pictures,col,s.f.,,,VSa18
Cry and Cry Again,1987,Kovacs,,,,,,,ZKK10
Project X,1987,UnYear87,,,,,,,Z8720
Burning Secret,1988,Birkin,Norma Heyman,Vestron ,pan,,,,ABi10
The Cement Garden,1994,,,,col,dram,,,ABi20
Above the Law,1988,A.Davis,,,,actn,,Chicago,ADv10
Code of Silence,1988,,,,,actn,,,ADv12
The Package,1991,,,,,actn,,,ADv14
Under Siege,1992,,,Warners,tcol,actn,,USS Missouri,ADv15
The Fugitive,1993,,Arnold Kopelson,Warners,col,actn,AAN,Chicago,ADv17
A Perfect Murder,1998,,Peter MacGregor Scott,Warners,tcol,susp,,NYC,ADv22
To Kill A Priest,1988,A.Holland,David Putnam,Columbia,,dram,,,AgH1
Angry Harvest,1989,,Arthur Brauner,,,dram,,,AgH5
Europa; Europa,1991,,Arthur Brauner,,col,dram,,,AgH10
Olivier; Olivier,1993,,,Sony,col,dram,,Paris,AgH13
The Secret Garden,1993,,Tom Luddy,Sony,col,dram,,,AgH15
Washington Square,1997,,,,col,dram,,NYC,AgH19
Candystripe Nurses,1988,Holleb,Julie Corman,,col,18+,,,AHo1
The Big Heat,1988,Kam,,,,actn,,,AnK10
Pour Sacha,1988,Arcady,,,,,,,AxA10
Pelle the Conqueror,1988,August,,,,advt,AA,,BiA1
Twist and Shout,1990,,,,col,dram,,,BiA3
The Best Intentions,1992,,,,col,biop,Palm,,BiA5
The House of the Spirits,1994,,Brend Eichinger,Miramax,col,dram,,,BiA7
Smilla's Sense of Snow,1995,,,,col,dram,,Copenhagen,BiA8
Jerusalem,1997,,,,col,dram,,Jerusalem,BiA9
Les Miserables,1998,,,,col,dram,,Vigau,BiA10
Funny,1988,Ferren,,,col,comd,,East Hampton,BmF10
Caspar,1995,,Spielberg,Disney,col,cart,,,BSi10
City of Angels,1998,,Milchan,Warners,,dram,,Lake Tahoe,BSi13
Emmanuelle 6,1988,Zincone,George Korda ,A.S.P.,col,18+,,,BZi10
Dealers,1988,Bucksey,,USA,col,susp,,,CBu6
Notorious,1989,,,,col,susp,,,CBu8
Curiosity Kills,1990,,,USA,col,susp,,L.A.,CBu10
Action Jackson,1988,Baxley,J.Silver,,col,18+,VIP,,CBx10
Off Limits,1988,Ch.Crowe,Alan Barnette,Fox,deluxe,dram,,Saigon,CCr10
Whispers in the Dark,1992,,M.Bregman,Paramount,deluxe,18+,,NYC,CCr12
Little Dorrit,1988,Edzard,Richard Goodwin,,,dram,RE,London,CEd10
As You like It,1992,,Edzard,Sands,col,dram,,,CEd20
Chocolat,1988,Denis,Belmondo,Cameroon,acol,dram,,,ClD1
Nenette and Boni,1997,,,,col,,,,ClD5
Trouble Every Day,2002,,,,col,noir,,,ClD10
Buster,1988,David Green,Norma Heyman,,,advt ,,,DGr1
Mr. North,1988,D.Huston,,,,,,,DH1
Becoming Colette,1992,,,,,biop,,Paris,DH5
Throw Momma from the Train,1988,D.deVito,,,,,,,DdV1
The War of the Roses,1989,,Milchan,Fox,col,comd,Fun,,DdV2
Hoffa,1992,,,Fox,col,dram,,,DdV4
Goguktu Ve Yagmur Ciseliyorau,1988,Ayca,,,,romt,,,EAy10
Babette's Feast,1988,Axelrod,,Danish,col,romt,AA,,GAx1
The Living End,1992,Araki,Jon Gerrans,Stand,col,noir,,,GrA10
Deserter,1988,Korras,,,,dram,,,GKo10
Tales from the Gimli Hospital,1988,Maddin,,,,horr,,,GuM1
Archangel,1991,,,,bnw,horr,,,GuM2
Careful,1992,,,,,susp,,Alpine Village,GuM3
Twilight of the Ice Nymphs,1998,,,,,comd,,,GuM5
Casual Sex,1988,Robert,Sheldon Kahn,Universal,col,comd,,,GvR10
Cocktail Roadhouse,1985,vanSant,,,,,,,GvS01
Mala Noche,1988,,,none,,,,Portland,GvS1
Drugstore Cowboy,1989,,Karen Murphy,,col,,,,GvS2
Thanksgiving Prayer,1990,,,none,bnw,comd,,,GvS4
My Own Private Idaho,1991,,,none,,,,Seattle,GvS5
Even Cowgirls get the Blues,1994,,Laurie Parker,Fine Line,col,west,,Rubber Rose,GvS8
Good Will Hunting,1997,,Chris Moore,Miramax,col,dram,AAN,MIT,GvS11
Psycho,1998,,,,,,,,GvS12
Fictitious Marriage,1988,Bouzagio,,,,dram,,Tel Aviv,HBo10
Bal Poussiere,1988,Duparc,,,,comd,,,HDu10
Memories of Me,1988,H.Winkler,Michael Hertzberg,MGM,col,dram,,,HeW1
Cop and a Half,1993,,,,col,cnr,,,HeW5
Reunion at Fairborough,1988,H.Wise,William Hill,,col,,,,HWi10
Act of Piracy,1988,Caros,Igo Kantor,Blossom,col,actn,,,IBC10
Crocodile Dundee II,1988,Cornell,Jane Scott,Paramount,col,,,,ICo10
Urinal,1988,Greyson,,,,18+,,,IGs10
Zero Patience,1994,,,,,comd,,Toronto,IGs20
Emanuelle; the Seductress,1988,Milonaka,Evangelist Fournasakis,Andromeda,col,18+,,,IlM5
Tiffany,1988,,Fournasakis,Andromeda,col,18+,,,IlM10
Die Hard,1988,McTiernan,J.Silver,,col,actn,,,IMT10
Hunt for Red October,1991,,Marc Neufeld,Paramount,col,actn,,submarines,IMT15
Medicine Man,1992,,,Cinergi,tcol,actn,,Amazon river,IMT20
Last Action Hero,1993,,McTiernan,Columbia,col,actn,,,IMT22
Intersection,1994,,,,col,dram,,,IMT24
The Thomas Crown Affair,1999,,StClair,MGM,col,susp,,,IMT29
The Summer of Miss Forbes,1988,Hermosillo,,,,romt,,,JHH10
The Wizards of Loneliness,1988,Bowen,,,duart,dram,,,JrB10
Akira,1988,Otomo,,Voyager,col,cart,,Tokyo,KOt10
Stripped to Kill,1988,K.S.Ruben,,,,,,,KSR10
Married With Children,1989,,Corman,,,18+,,,KSR20
Streets,1990,,Corman,,,18+,,Venice Beach,KSR30
Poison Ivy,1992,,A.Ruben,NewLine,col,dram,,,KSR35
Elements of Crime,1984,vonTrier,,,,,,,LvT3
Zentropa,1991,,,,,dram,,,LvT10
Breaking the Waves,1996,,,,col,18+,Palm,,LvT20
The Kingdom,1998,,,,,docu,,,LvT21
The Idiots,,,,,,,,,LvT22
Dancer in the Dark,1999,,,,,dram,Palm,,LvT25
Stormy Monday,1988,Figgis,,,,,,,MFi5
Internal Affairs,1990,,,,col,susp,,,MFi10
Mr. Jones,1993,,,,col,susp,,,MFi15
The Browning Version,1994,,Mimi Polk,Paramount,col,,,,MFi16
Leaving Las Vegas ,1996,,,UA,col,romt,AAN,Las Vegas,MFi18
One Night Stand,1997,,,New Line,col,dram,,Las Vegas,MFi20
The Loss of Sexual Innocence,1999,,,,,,,,MFi22
\UN2,1988,M.Greenwald,,,,comd,,,MGw1
The Kill Off,1989,,,,,west,,,MGw2
The Ballad of Little Jo,1993,,,Fine Line,col,west,,,MGw5
Dreams of Hind and Camilla,1988,Khan,,,,,,,MKh10
Diary for My Loves,1988,Meszaros,,,,,,,MMs10
A Month in the Country,1988,OConnor,,,,,,Yorkshire,POC10
Zelda,1993,,,TNT,tv,biop,,,POC20
Inventing the Abbots,1997,,,Fox,deluxe,dram,,,POC25
Dancing at Lughnasa,1998,,,,,,,Lughnasa,POC26
Tumbleweeds,1999,,,,,,,,POC27
Sweet November,2001,,Elliot Kastner,Warners,cfcol,romt,,,POC29
Les maris; les femmes; les amants,1988,P.Thomas,,,,comd,,,PTh10
D.O.A.,1988,Morton,Laura Ziskin,,,susp,RE,,RkM10
Super Mario Bros.,1993,,,Buena Vista,col,actn,,,RkM16
Igla,1988,Nougmanov,,Kazakkhfilm,col,actn,,,RNo10
Diki Vostok,1993,,Noumanov,Studio King,col,actn,,TianShan,RNo20
Bull Durham,1988,Shelton,Mark Burg,,col,romt,RE,,RSh5
Blaze,1989,,Don Miller,Touchstone,duart,biop,,Winnfield,RSh10
White Men Can't Jump,1992,,David Lester,Fox,deluxe,comd,,East L.A.,RSh15
Cobb,1994,,,,col,biop,,,RSh18
Tin Cup,1996,,David Lester ,Warners,col,comd,,,RSh20
Ratboy,1988,Locke,,,col,,,,SLo1
Impulse,1990,,Andre Morgan,Warners,col,noir,,,SLo2
Far North,1988,Sheppard,Michael Hardin,,col,dram,,,SSR10
True West,1990,,,,col,dram,,,SSR12
Silent Tongue,1994,,,,col,west,,,SSR15
Nightsongs,1988,Fucci,,,tv,,,,TAF4
Purple Haze,1989,,,,,,,,TAF7
Don't Call Me Frankie,1991,,Sam Braslau,Sun,col,noir,,,TAF10
Spalding Gray - Terors of Pleasure,1988,Schlamme,,,,,,,ThS1
Miss Firecracker,1989,,,,,,,,ThS2
Crazy From The Heart,1991,,,,,,,,ThS3
So I Married an Axe Murderer,1993,,,,,comd,SE,S.F.,ThS4
You so Crazy,1994,,,,,,,,ThS5
Kingfish: A Story of Huey P. Long,1995,,John Goodman,,,biop,,,ThS5
The Navigator,1989,V.Ward,,,,s.f.,,,ViW1
Map of the Human Heart,1993,,,,col,advt,,,ViW10
What Dreams May Come,1998,,,,col,romt,VIP,,ViW15
Johann Strauss; The King without a Crown,1988,Antel,,,,musc,,,yAn10
Punchline,1988,Seltzer,,Columbia,deluxe,romt,,NYC,xSz10
The Yen Family,1988,Takita,,,,comd,,,YoT10
Hard to Kill,1990,Unknown18,,,,actn,,,Z1811
Marked for Death,1990,,,,,actn,,,Z1812
Out for Justice,1991,,,,,actn,,,Z1813
Vice Academy,1988,Unknown48,,,col,18+,,,Z4810
Vice Academy; part 2,1990,,,,col,18+,,,Z4815
Surf II,1988,Unknown54,,,,,,,Z5410
Running Hot,1988,,,,,,,,Z5420
The New Kids,1988,,,,,,,,Z5430
Code Name: Emerald,1988,,,,,,,,Z5440
Some Kind of Wonderful,1988,,,,,,,,Z5450
Sister Sister,1988,,,,,,,,Z5460
Manifesto,1988,,,,,,,,Z5470
Haunted Summer,1988,,,,,,,,Z5480
Illegally Yours,1988,,,,,,,,Z5490
The Fly II,1988,,,,,,,,Z54100
Sleep with Me,1994,,,MGM,,romt,,,Z54105
God's Army,1995,,,,,,,,Z54110
Romero,1988,Unknown3,Ellwood Bud Kieser,Paulist,col,biop,,,Z0310
Entertaining Angels: The Dorothy Day Story,1996,,Ellwood Bud Kieser,Paulist,col,biop,,,Z0320
Femme,1988,UnYear88,,,col,18+,,,Z8820
The Jazz Singer,1990,,,,,,,,Z8875
In Glass,1989,Villaronga,,,,,,,AgV10
Kitchen Sink,1989,MacLean,,,bnw,romt,VIP,,AMc10
Crush,1995,,,,,,,,AMc14
Jesus' Son,2000,,,,,comd,,,AMc15
The Supernaturals,1989,Mastroianni,,,,,,,AmM10
Everything's for you,1989,Ravett,,,,cart,,,ARv10
The Guard,1989,Rogoschkin,,,,,,,AxR10
Tapeheads,1989,Fishman,,,,comd,,,GFi1
Car 54; Were Are You,1994,,,,col,comd,,,Gfi2
Raggedy Rawney,1989,Hoskins,,Handmade Films,,,,,BHo10
Camille Claudel,1989,Nuytten,Isabelle Adjani,Orion,,biop,FAA,Paris,BNu1
Parents,1989,Bob Balaban,,,,comd,,,BoB1
The Last Good Time,1994,,,,col,romt,,,BoB4
Withnail and I,1989,B.Robinson,,,,susp,,,BRo7
Jennifer 8,1992,,,,,susp,,,BRo10
36 Fillette,1989,Breillat,Valerie Seydoux,,,dram,RE,,CaB1
Romance,1999,,,,,18+,,,CaB6
The Big Picture,1989,Ch.Guest,,Columbia,,comd,Fun,,ChG2
Attack of the 50-foot Woman,1993,,Joseph Dougherty,HBO,cfcol,fant,,,ChG10
Waiting for Guffman,1997,,,,col,comd,,,ChG15
Almost Heroes,1998,,,,,comd,,,ChG18
Ripoux contre Ripoux,1989,Zidi,,,,cnr,,,ClZ10
Asterix and Obelisk,1998,,,,col,comd,,,ClZ19
Jesus of Montreal,1989,Arcand,,,,,,Montreal,DeA10
Phantom of the Opera,1989,Little,Golan,Menahen Golan,,horr,,,DHL1
The Toymaker,1991,,,,col,horr,,L.A.,DHL6
Free Willy 2,1995,,,Warners,,advt,,,DHL10
Cannibal Tours,1989,ORourke,,,col,docu,,,DOR5
Half Life,1990,,,,col,docu,,,DOR8
The Good Woman of Bangkok,1991,,,,col,docu,,,DOR10
La Chiesa,1989,Soavi,,,,horr,,,MSo10
Jacknife,1989,D.Jones,John Bloom,Kings Road,col,dram,,,DvJ1
The Betrayal,1990,,,,col,dram,,,DvJ2
84 Charing Cross Road,1991,,,,col,dram,,,DvJ4
The Trial,1993,,,,col,dram,,,DvJ6
Woman of Courage,1989,Djarot,,,,,,,EDj10
Underground,1989,Kusturica,,,,dram,,,EKu10
Harlem Nights,1989,E.Murphy,,Paramount,col,dram,,Harlem,EMu1
Glory,1989,Zwick,Freddie Fields,TriStar,col,advt,,Charleston,EZw1
Leaving Normal,1992,,Lindsay Doran,Universal,col,dram,,Eternity Bluffs,EZw4
Legends of the Fall,1994,,,TriStar,col,actn,,,EZw5
Chicago,1995,,Ott,Tristar,,,,,EZw6
Courage Under Fire,1996,,John Davis,Fox,col,dram,,,EZw7
Siege,1998,,,,,actn,,NYC,Ezw9
Flashback,1989,Amurri,,,tv,dram,,,FAm10
Monkey Trouble,1994,,,,col,susp,,,FAm16
Never; Nowhere; To No-one,1989,Teglasy,,,,,,,FTy10
The Music Teacher,1989,Corbiau,Jaqueline Pierreux,RTBF,col,musc,,,GCo1
Dad,1989,Goldberg,Joseph Stern,Universal,col,dram,,,GDG1
Resurrected,1989,Greengrass,,,,horr,,,PGg1
Bloody Sunday,2002,,,,sp,horr,,,PGg9
The Bourne Supremacy,2004,,,,col,susp,,Moscow,PGg11
Cinema Paradiso,1989,Tornatore,Franco Christaldi,Miramax,col,dram,BFA,,GTo1
Everybody's Fine,1990,,,,col,fant,,Sicily,GTo2
Star Maker,1996,,,,col,,,Sicily,GTo9
Coming Out,1989,Carow,,,,docu,,,HCa10
Let It Be,1989,Brode,,,,,,,HMB10
Looking for Langston,1989,Julien,,,,biop,,Harlem,IsJ10
Young Soul Rebels,1990,,,,col,dram,Palm,East London,IsJ12
Ikili Oyunlar,1989,Tozum,,Muhtesem,col,dram,,,ITo10
Work Experience,1989,Hendrie,,,col,comd,AA,,JHd10
Honey; I Shrunk the Kids,1989,Johnston,,,col,comd,,,JJo1
The Rocketeer,1991,,,Buena Vista,col,s.f.,,L.A.,JJo2
Jumanji,1995,,William Teitler,Columbia Tristar,col,fant,,,JJo5
October Sky,1999,,,Universal,col,dram,,Big Creek,JJo10
Hay Algo Alla Afuera,1989,Maldonado,,GroupSuburbia,col,fant,,,JMd10
My Left Foot,1989,Sheridan,Noel Parson,,,biop,AAN,,JSh1
The Field,1991,,,,,biop,,,JSh2
In the Name of The Father,1993,,,,,biop,AAN,,JSh4
The Boxer,1998,,,,col,dram,,,JSh8
Henry V,1989,Branagh,,,,dram,AA,,KBr1
Dead Again,1991,,,Paramount,bnw,comd,,L.A.,KBr3
Strauss,1992,,S.Pollock,,col,biop,,Vienna,KBr10
Peter's Friends,1992,,Branagh,Goldwyn,col,comd,,,KBr12
Much Ado About Nothing,1993,,Branagh,BBC,tcol,comd,,Chianti,KBr14
A Mid-Winter's Tale ,1996,,,,col,dram,,,KBr16
William Shakespeare's Romeo and Juliet ,1996,,,,,dram,,,KBr17
Hamlet,1996,,,,col,dram,,,KBr18
The Theory of Flight,1998,,,,col,dram,,,KBr20
Love's Labor Lost,1999,,,,,,,,KBr21
Zero City,1989,Shaknazarov,,,,,,,KSk10
Old Gringo,1989,Puenzo,Lois Bonfiglio,Fonda,col,dram,,,LPu1
Salaam Bombay!,1991,Nair,,,,,Palm,,MNa10
Missisipi Masala,1992,,Nair,Mirabai,col,romt,,Greenwood,MNa13
Kama Sutra; A Tale of Love,1997,,,,,,,,MNa18
Scandal,1989,CatonJones,Stephen Woolley,Miramax ,,,,,MCJ1
Memphis Belle,1990,,C.Wyler,Enigma,col,advt,,,MCJ10
Doc Hollywood,1991,,,Warners,deluxe,romt,,Grady,MCJ12
This Boy's Life,1993,,,Warners,col,biop,,Seattle,MCJ14
Rob Roy,1995,,Richard Jackson ,MGM/U.A.,col,romt,,,MCJ16
The Jackal,1997,,,,col,actn,,,MCJ18
Human Nature,2001,Gondry,Anthony Bregman,Canal 5,,comd,,,Mgy5
Raspad,1989,Belikov,Peter O. Almond,Lucasfilm,col,docu,,Chernobyl,MiB10
Pet Sematary,1989,Lambert,Richard P. Rubenstein,Paramount,tcol,horr,,,MLa10
Grand Isle,1992,,,,col,dram,,,MLa15
Pet Sematary II,1996,,,,,horr,,,MLa19
Heathers,1989,M.Lehman,,Starmaker,col,comd,Fun,,MLm1
My Giant,1998,,Schindler,CastleRock,col,comd,,Las Vegas,MLm5
The Wash,1989,Uno,Calvin Skaggs,American Playhouse,col,dram,,,MTU10
Field of Dreams,1989,P.A.Robinson,,,,fant,AAN,,PAR10
Sneakers,1992,,,,col,comd,,,PAR14
Dead Calm,1989,Noyce,George Miller,Kennedy Miller,col,susp,RE,,PhN10
Patriot Games,1989,,Rich Rheiner,Paramount,col,susp,,Annapolis,PhN14
Sliver,1993,,J.Koch,Paramount,deluxe,susp,,,PhN17
The Saint,1997,,,Paramount,col,cnr,,Moscow,PhN20
The Bone Collector,1999,,,,,susp,,,PhN22
Frau Berta Garlan,1989,Patzak,,ORF,,romt,,Vienna,PPz10
Eh' die Fledermaus ihren Flug Beendet,1989,Timars,,,,dram,,Budapest,PTi10
Fear,1989,Vince,,Vestron,col,susp,,L.A.,PTV10
Children of a Lesser God,1989,Haines,,,,dram,,,RaH7
The Doctor,1990,,,,,dram,,,RaH10
Wrestling Ernest Hemingway,1993,,,,,dram,,,RaH15
Stand and Deliver,1989,Menendez,,,col,biop,,East L.A.,RaM10
Vampire's Kiss,1989,Bierman,,,col,noir,,,RBi10
La Lectrice,1989,Jean,,,col,comd,,Paris,RJe1
Best of the Best,1989,Radler,,,,dram,,,RRa10
Tetsuo; the Iron Man,1989,Tsukamoto,,,bnw,horr,,,ShT10
The Fabulous Baker Boys,1989,Kloves,Mark Rosenberg,Mirage,deluxe,musc,,Seattle,SKo1
Flesh and Bone,1993,,,,col,dram,,,SKo2
Moonlight and Valentino,1995,,,,col,romt,,,Sko5
sex; lies; and videotape,1989,Soderbergh,,Orion,col,18+,Palm,,StS1
Kafka,1991,,,Orion,col,biop,,Prague,StS2
King of the Hill,1993,,Ron Yerxa,Gramercy,col,biop,,,StS5
Out of Sight,1998,,,Universal,col,actn,,Detroit,StS10
Ocean's Eleven,2001,,Fred Weintraub,Warners,col,actn,,Bellagio,StS13
Solarisn,2002,,James Cameron,Fox,col,s.f.,,Prometheus,StS14
Star Trap,1989,Bigat,Nigel Safford Clark,,col,horr,,Oxford,TBi10
Superstar: The Karen Carpenter Story,1999,Haynes,,,,comd,,,THy6
Poison,1991,,Christine Vachon,,,,,,THy10
Safe,1995,,,,,,,,THy14
Fear; Anxity; and Depression,1998,Solondz,,,,,,NYC,TSz1
Welcome to the Dollhouse,1996,,Solondz,Sony ,col,comd,,,TSz5
Happiness,1998,,,,,noir,,,TSz10
The Four Deuces,1989,Busnell,Yoram Globus,Golan-Globus,col,actn,,Chicago,WHB10
Star Trek V: The Final Frontier,1989,Shatner,H.Bennett,,col,s.f.,,,WSh1
Meet the Applegates,1989,UnYear89,,,duart,comd,,,Z8910
Legal Eagles,1989,,,,,,,,Z8915
A Place in the World,1994,Aristarain,,,,romt,,,AAt10
Love in the Time of Hysteria,1990,Cuaron,,,,,,,ACu10
Murder; Obliquely,1990,,Pollock,,col,susp,,,ACu15
The Little Princess,1995,,,,,faml,,,ACu20
Great Expectations,1998,,,,col,dram,,,ACu23
Eau/Ganga,1990,Gopalakrishnan,Vishwanadhan,,fcol,docu,,,AGo10
Look Who's Talking,1990,Neckerling,Jonathan D. Krone,,col,comd,,NYC,AmN1
Pump Up the Volume,1990,Moyle,,,,,,,AMo10
The Gun in Betty Lou's Handbag,1992,,,,,romt,,Tetly,AMo13
New Waterford Girl,2000,,,,,,,Cape Breton,AMo15
The China Lake Murders,1990,A.Metzger,,USA,tv,myst,,,AMz1
Back to School,1990,,Chuck Russell,Orion,col,comd,,NYC,AMz5
Zeit der Rache,1990,Peschke,Milan Dor,Kumural,col,biop,,Vienna,APk10
Let's Get Romantic,1990,Palekar,Palekar,NFDC,col,romt,,,APl10
The Shooting Gallery,1990,Sopsits,,,,,,,ASp10
For All Mankind,1990,Reinert,,,col,docu,,,ARt1
The Chosen One: Shandou,1991,Sharma,,NFDC,col,dram,,Manipur,ASS10
Allegro Non Troppo,1990,Bozetto,,,col,cart,,,BBz10
The Disenchanted,1990,Jacquot,,,,dram,,,BJq5
A Single Girl,1995,,,,,,,,BJq10
The School of Flesh,1999,,,,,,,Paris,BJq15
Waiting for the Light,1990,Monger,,,col,comd,,,ChM20
The German Chainsaw Massacre,1990,Schlingensief,,,,,,,CSc10
Superstar: The Life and Times of Andy Warhol,1990,Workman,,,,biop,,NYC,CWm10
Deadly Deception: General Elecric; Nuclear Wepons and Our Environment,1990,Chasnoff,,Fantasy,,docu,AA,,DbC10
