stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
John Richardson,1958,1975,Richardson,John,M,1936,1984,fancy dress,Br
Lee Richardson,,,,,,,1992,unknown,Ct
Natasha Richardson,,, Richardson,Natasha,,,1984,unknown,Ct
Ralph Richardson,1933,1984,Richardson,Sir Ralph,M,1902,1983,distinguished,Br
Harry Richman,1930,1938,Richman,Harry,M,1895,1972,unknown,Am
Mark Richman,1956,1971,Richman,Mark,M,1927,1984,general purpose,Am
Kane Richmond,1930,1947,Bowditch,Frederick W.,M,1906,1973,lead,Am
Debi Richter,,,,,F,,1992,unknown,Ct
Don Rickles,1958,1977,Rickles,Don,M,1926,1984,insult comedian,Am
Hal Riddle,,, Riddle,Hal,M,1920,1984,unknown,Ct
John Ridgeley,1938,1952,Rea,John Huntingdon,M,1909,1968,gangster,Am
Stanley Ridges,1923,1951,Ridges,Stanley,M,1892,1951,incisive; heavy-featured,Br
Judith Ridley,,,,,F,,1992,unknown,Ct
Leni Riefenstahl,1925,1993,Riefenstahl,Leni,F,1902,1993,sporty,Ge
Peter Riegert,,,,,M,,1992,unknown,Ct
Ron Rifkin,,,,,M,,1992,unknown,Ct
Edward Rigby,1935,1950,Rigby,Edward,M,1879,1951,endearingly doddery roles,Br
Terence Rigby,1961,1983,Rigby,Terence,M,1937,1984,character,Br
Diana Rigg,1965,1981,Rigg,Diana,F,1938,1984,lead,Br
Terence Right,,,,,M,,1992,unknown,Ct
Jack Riley,,,,,M,,1992,unknown,Ct
Larry Riley,,,,,M,,1992,unknown,Ct
Walter Rilla,1926,1965,Rilla,Walter,M,1895,1984,unknown,Ge
Shane Rimmer,1974,1982,Rimmer,Shane,M,,,supporting,Am
RinTinTin,1923,1955,,,A,1916,1932,silent,Ge
Molly Ringwald,1981,1990,Ringwald,Molly,F,1968,1984,sweet,Am
Brad Rinn,,,,,M,,1992,unknown,Ct
Michael Ripper,1948,1970,Ripper,Michael,M,1913,1984,character,Br
Arthur Riscoe,1934,1941,Riscoe,Arthur,M,1896,1954,comedian,Br
Elizabeth Risdon,1935,1952,Evans,E.,F,1887,1958,character,Br
Cyril Ritchard,1929,1967,Ritchard,Cyril,M,1896,1977,dancer; comedian,Br
June Ritchie,1961,1967,Ritchie,June,F,1939,1992,lead,Br
Kristen Riter,,,,,F,,1992,unknown,Ct
Martin Ritt,1976,1983,Ritt,Martin,M,1919,1990,unknown,Am
John Ritter,1970,1981,Ritter,Jonathan,M,1948,1984,light,Am
Tex Ritter,1936,1946,Ritter,Woodward,M,1907,1974,cowboy,Am
Thelma Ritter,1947,1968,Ritter,Thelma,F,1905,1969,wry-faced,Am
Harry Ritz,,, Ritz,Harry,M,,1986,singer?,Am
The Ritz-Brothers,1938,1939,Joachim,,G,,,zany singers,Am
Emmanuele Riva,1959,1966,Riva,Emmanuele,F,1932,1984,lead,Fr
Cecilia Rivera,,,,,F,,1992,unknown,Ct
Chita Rivera,1969,1969,Rigueroa del Rivero,Dolores Conchita,F,1933,1984,dynamic dancer,Am
George Rivero,,,,,M,,1992,unknown,Ct
George Rivers,,,,,M,,1992,unknown,Ct
Joan Rivers,1978,1978,Rivers,Joan,F,,,comedienne,Am
Brian Rix,1951,1973,Rix,Brian,M,1924,1984,farcial,Br
Bert Roach,1921,1947,Roach,Bert,M,1891,1971,silent,Am
Lilian Roams,1994,,Roams,Lilian,F,1967,1984,wild woman,Br
Adam Roarke,,,,,M,,1992,unknown,Ct
Jason Robards,1926,1961,Robards,Jason,M,1893,1963,character,Am
Jason Robards~jr.,1958,1983,Roberts~jr.,Jason,M,1920,1984,unknown,Am
Sam Robards,,, Robards,Sam,M,,1984,unknown,Am
Gale Robbins,1944,1955,Robbins,Gale,F,1922,1980,lead,Am
Jerome Robbins,1956,1961,Robbins,Jerome,M,1918,1984,dancer,Am
Mathew Robbins,,,,,M,,1992,unknown,Am
Richard Rober,1948,1952,Rober,Richard,M,1906,1952,general purpose,Am
John C. Roberick,,,,,M,,1992,unknown,Ct
Lyda Roberti,1932,1937,Roberti,Lyda,F,1910,1938,lead,Ge
Christian Roberts,,,,,M,,1992,unknown,Ct
Doris Roberts,1974, ,Roberts,Doris,F,1930,1984,unknown,Am
Eric Roberts,1978,1981,Roberts,Eric,M,1956,1984,lead,Am
Glenn Roberts,,,,,M,,1992,unknown,Ct
Julia Roberts,1988,2001,Roberts,Julia,F,1967,2001,long-legged charmer,Am
Michael D. Roberts,,,,,M,,1992,unknown,Ct
Pernell Roberts,1958,1979,Roberts,Pernell,M,1930,1984,general purpose,Am
Rachel Roberts,1952,1979,Roberts,Rachel,F,1930,1980,unknown,Br
Roy Roberts,1943,1968,Roberts,Roy,M,1900,1975,character,Am
Tanya Roberts,,,,,F,,1984,unknown,Am
Teal Roberts,,,,,,,1992,unknown,Ct
Theodore Roberts,1914,1928,Roberts,Theodore,M,1861,1928,character,Am
Tony Roberts,1970,1983,Roberts,Tony,M,1939,1984,light lead,Am
Jerrold Robertshaw,1918,1933,Robertshaw,Jerrold,M,1866,1941,gaunt,Br
Cliff Robertson,1955,1983,Robertson,Cliff,M,1925,1984,lead,Am
Dale Robertson,1949,1981,Robertson,Dale,M,1923,1992,western star,Am
Dennis Robertson,,,,,M,,1992,unknown,Ct
James Robertson,,,,,M,,1992,unknown,Ct
Robbie Robertson,,,,,M,,1992,unknown,Ct
Willard Robertson,1931,1948,Robertson,Willard,M,1886,1948,character,Am
Paul Robeson,1924,1955,Robeson,Paul,M,1898,1976,black singer,Am
Sir George Robey,1923,1952,Wade,George Edward,M,1869,1954,comedian,Br
Hayward Robillard,,,,,M,,1992,unknown,Ct
Dany Robin,1946,1969,Robin,Dany,F,1927,1984,lead,Fr
Andy Robinson,1971,1975,Robinson,Andy,M,,,character,Am
Ann Robinson,,,,,F,,1992,unknown,Ct
Bojangles Robinson,1935,1943,Robinson,Bill,M,1878,1949,black dancer,Am
Edward G. Robinson,1923,1973,Goldenberg,Emmanuel,M,1893,1973,tough,Rm
Francis Robinson,1925,1950,Robinson,Francis,F,1916,1971,supporting,Am
Jay Robinson,1953,1975,Robinson,Jay,M,1930,1984,eccentric roles,Am
John Robinson,1936,1961,Robinson,John,M,1908,1979,heavy father; tough ececutive,Br
Madeleine Robinson,1943,1970,Svoboda,Madeleine,F,1916,1984,unknown,Fr
Flora Robson,1931,1979,Robson,Dame Flora,F,1902,1984,distinguished,Br
May Robson,1915,1942,Robison,Mary,F,1858,1942,domineering; kindly old lady,Au
Wayne Robson,,,,,M,,1992,unknown,Ct
Patricia Roc,1938,1960,Riese,Felicia,F,1918,1984,lead,Br
Alex Rocco,,,,,M,1936,1984,unknown,Am
Eugene Roche,1974,1978,Roche,Eugene,M,1928,1984,heavy-set; bewildered look,Am
Jean Rochefort,1983,,,,F,1930,1984,unknown,Fr
Sam Rockwell,1987,1998,Rockwell,Sam,M,1969,1984,quirky loner,Am
Marcia Rodd,,,,,F,,1992,unknown,Ct
Anton Rodgers,1965,1973,Rodgers,Anton,M,1927,1984,comic character,Br
Percy Rodriques,1967,1973,Rodriques,Percy,M,1924,1984,black character,Ca
Maurice Roeves,1992,,"Ro""eves",Maurice,M,,1984,unknown,Ct
Buddy Rogers,1926,1948,Rogers,Charles,M,1904,1984,light lead,Am
Ginger Rogers,1930,1964,McMath,Virginia,F,1911,1984,comedienne; dancer,Am
Jean Rogers,1934,1951,Lovegren,Eleanor,F,1916,1984,light lead,Am
Lela Rogers,1942,,Rogers,Lela,F,,1984,mother,Am
Kenny Rogers,1982,,Rogers,Kenneth,M,1938,1984,country-and-western singer,Am
Mimi Rogers,1987,1989,Rogers,Mimi,F,1955,1984,unknown,Am
Paul Rogers,1953,1975,Rogers,Paul,M,1917,1984,character,Br
Roy Rogers,1938,1975,Slye,Leonard,M,1912,1984,singing cowboy,Am
Wayne Rogers,1978,1978,Rogers,Wayne,M,1934,1984,light,Am
Will Rogers,1918,1935,Rogers,Will,M,1879,1935,rustic comedian,Am
Helena Rojo,,,,,F,,1992,unknown,Ct
Gilbert Roland,1925,1977,Damaso deAlonso,Luis Antonio,M,1905,1994,Mexican Robin Hood,Me
Ruth Roland,1915,1936,Roland,Ruth,F,1893,1937,silent serial queen,Am
Guy Rolfe,1946,1973,Rolfe,Guy,M,1915,1984,lead and character,Br
Howard E. Rollins~jr.,1981,,,,M,,1984,unknown,Am
Yvonne Romain,1956,1973,Warren,Yvonne,F,1938,1984,lead,Br
Leticia Roman,1961,1964,Roman,Leticia,F,1939,1984,lead,Am
Ruth Roman,1944,1977,Roman,Ruth,F,1924,1984,determined,Am
Vivianne Romance,1935,1963,Romance,Vivianne,F,1912,1991,lead,Fr
Andy Romano,,,,,M,,1992,unknown,Ct
Mike Romanoff,1948,1967,Gerguson,Harry,M,1890,1972,amiable con man,Am
Steward Rome,1925,1948,Ryott,Septimus William,M,1887,1965,character,Br
Sydney Rome,,,,,M,1947,1984,unknown,Am
Fred Romer,,,,,M,,1992,unknown,Ct
Cesar Romero,1934,1974,Romero,Cesar,M,1907,1994,romantic gangster,Ct
Edana Romney,1941,1948,Rubenstein,E.,F,1919,1984,lead,SA
Maurice Ronet,1949,1979,Ronet,Maurice,M,1927,1983,lead,Fr
Linda Ronstadt,1983,,Ronstadt,Linda,F,1946,1984,pop singer,Am
Mickey Rooney,1932,1981,Yule,Joe~Jnr,M,1920,1984,diminutive; cute,Am
Noel Roquev'ert,1922,1962,ert,Noel,M,1894,1973,mean-spirited bourgeois,Fr
Francoise Rosay,1925,1965,deNaleche,Francoise,F,1891,1974,distinguished,Fr
George Rose,1952,1983,Rose,George,M,1920,1984,character,Br
Slapsie' Maxie Rosenbloom,1933,1959,Rosenbloom,Maxie,M,1906,1976,comedian,Am
Milton Rosmer,1921,1937,Lunt,Arthur Milton,M,1881,1971,unknown,Br
Annie Ross,,,,,F,,1992,unknown,Ct
Diana Ross,1972,1978,Ross,Diana,F,1944,1984,black singer,Am
Herbert Ross,,, Ross,Herbert,M,1927,1984,unknown,Am
Katharine Ross,1965,1982,Ross,Katharine,F,1942,1984,lead,Am
Shirley Ross,1935,1945,Gaunt,Bernice,F,1909,1975,lead,Am
Yvonne Ross,,,,,F,,1992,unknown,Ct
Isabella Rossellini,1976,1989,Rossellini,Isabella,F,1955,1984,soft presence,It
George Rossi,,,,,M,,1992,unknown,Ct
Leo Rossi,,,,,M,,1992,unknown,Ct
Eleonora RossiDrago,1948,1969,Omiccioli,Palmina,F,1925,1984,lead,It
Norman Rossington,1958,1972,Rossington,Norman,M,1928,1999,character,Br
Leonard Rossiter,1964,1982,Rossiter,Leonard,M,1926,1984,character,Br
Lilian Roth,1920,1933,Rutstein,Lillian,F,1910,1980,lead,Am
Tim Roth,1990,,Roth,Tim,M,19bb,1995,glib; cool,Ct
Richard Roundtree,1971,1973,Roundtree,Richard,M,1937,1984,black lead,Am
Robert Rounseville,1951,1956,Rounseville,Robert,M,1914,1974,opera singer,Am
Mickey Rourke,,,,,M,1957,1984,cute,Am
Dan Rowan,1957,1969,Rowan,Dan,M,1922,1987,comedian,Am
Gena Rowlands,1958,1980,Rowlands,Virginia,F,1934,1984,lead,Am
Patsy Rowlands,1961,1976,Rowlands,Patsy,F,1934,1984,character comedienne,Br
Lionel Royce,1940,,Royce,,M,,1992,unknown,Br
Christian Rub,1932,1952,Rub,Christian,M,1887,1956,character,Os
Alma Rubens,1915,1929,Smith,Alma,F,1897,1931,silent lead,Am
Saul Rubinek,,,,,M,,1992,unknown,Ct
John Rubinstein,1970,1978,Rubinstein,John,M,,,character,Am
Paul Rudd,1992,, Rudd,Paul,M,1970,1984,sexy,Am
Herbert Rudley,1939,1968,Rudley,Herbert,M,1911,1984,supporting,Am
Rita Rudner,1992,, Rudner,Rita,F,,1984,unknown,
Mercedes Ruehl,1992,,Ruehl,Mercedes,F,1992,1984,warmheated,Am
Charles Ruggles,1915,1966,Ruggles,Charles,M,1886,1970,character comedian,Am
Heinz Ruhmann,1926,1965,"R""uhmann",Heinz,M,1902,1984,lead,Ge
Barbara Ruick,1951,1974,Ruick,Barbara,F,1933,1973,lead,Am
Janice Rule,1951,1982,Rule,Janice,F,1931,1984,lead,Am
Sig Ruman,1935,1966,Rumann,Siegfried,M,1884,1967,explosive,Am
John Rumar,,,,,M,,1992,unknown,Ct
Jenny Runacre,1969,1979,Runacre,Jenny,F,1943,1984,character,SA
Jennifer Runyon,,,,,F,,1992,unknown,Ct
Rupaul,1993,,bn,gn,M,,1984,tall transvestite musician,Am
Barbara Rush,1951,1981,Rush,Barbara,F,1927,1984,lead,Am
Deborah Rush,,,,,F,,1992,unknown,Ct
Elizabeth Rush,,,,,F,,1992,unknown,Ct
William Russ,,,,,M,,1992,unknown,Ct
Del Russel,1963,,Russel,Del,M,1952,1984,unknown,Am
Theresa Russel,1991,,Russell,Theresa,F,1957,1984,prostitute,Am
Betsy Russell,,,,,F,,1992,unknown,Ct
Craig Russell,,,,,M,,1992,unknown,Ct
Gail Russell,1943,1961,Russell,Gail,F,1924,1961,shy lead,Am
Harold Russell,1946,1980,Russell,Harold,M,1914,1984,armless vet,Ca
Jane Russell,1943,1970,Russell,Jane,F,1921,1990,busty,Am
John Russell,1939,1970,Russell,John,M,1921,1984,second lead,Am
Ken Russell,,, Russell,Ken,M,,1984,handicapped,Am
Kurt Russell,1960,1976,Russell,Kurt,M,1951,1984,boy actor,Am
Lillian Russell,1974,1974,Leonard,Helen Louise,F,1861,1922,statuesque singer,Am
Nipsey Russell,1978,,Russell,Nipsey,F,1925,1984,unknown,Am
Rosalind Russell,1934,1972,Russell,Rosalind,F,1908,1976,dominant lead,Am
Gianni Russo,,,,,M,,1992,unknown,Ct
Rene Russo,1993,,Russo,Ren'e,F,1955,1984,smart,Am
Ann Rutherford,1938,1972,Rutherford,Ann,F,1917,1984,lead,Am
Dame Margaret Rutherford,1936,1968,Rutherford,Margaret,F,1892,1972,garrulous; shapeless; endearing,Br
Basil Ruysdael,1929,1960,Ruysdael,Basil,M,1888,1960,character,Ru
Fran Ryan,,,,,F,,1992,unknown,Ct
Irene Ryan,1941,1957,Riordan,Irene,F,1903,1973,wiry comedienne,Am
James Ryan,,,,,M,,1992,unknown,Ct
John Ryan,1965,1976,Ryan,John P.,M,1938,1984,lead,Am
Kathleen Ryan,1947,1958,Ryan,Kathleen,F,1922,1985,lead,Ir
Meg Ryan,1989,1994,,,F,1962,1984,charming,Am
Mitch Ryan,1979,1980,Ryan,Mitchell,M,1928,1984,stalwart character,Am
Peggy Ryan,1937,1980,Ryan,Peggy,F,1924,1984,teenage comedienne,Am
Robert Ryan,1940,1974,Ryan,Robert,M,1909,1973,strong-featured lead,Am
Sheila Ryan,1944,1953,McLaughlin,Katherine,F,1921,1975,light lead,Am
Tim Ryan,1940,1956,Ryan,Tim,M,1889,1956,comedy supporting,Am
Raisa Ryazonova,,,,,F,,1992,unknown,Ct
David Rydall,,,,,M,,1992,unknown,Ct
Bobby Rydell,1963,1963,Rydell,Bobby,M,1942,1984,pop star,Am
Mark Rydell,1973,,,,M,1934,1984,gangster,Am
Winona Ryder,1986,1993,Winona,Horowitz,F,1971,1984,sepulchral,Am
Jack Ryland,,,,,M,,1992,unknown,Ct
Yacef Saadi,,,,,M,,1992,unknown,Ct
Sabu,1938,1963,Dastagir,Sabu,M,1924,1963,boyish,In
Greta Sacchi,,,,,F,,1992,unknown,Ct
Stephen Sachs,,,,,M,,1992,unknown,Ct
Michael Sacks,,,,,M,,1992,unknown,Ct
Marianne Sagebrecht,1984,1990,"S""agebrecht",Marianne,F,,1984,tourist,Ge
Kengji Sahara,,,,,,,1992,unknown,Ct
Mort Sahl,1958,1968,Sahl,Mort,M,1926,1984,sardonic political comedian,Am
Eva Marie Saint,1954,1983,Saint,Eva Marie,F,1924,1984,heroine,Am
Michael SaintDenis,1936,,Saint Denis,Michael,M,,1984,unknown,Am
Susan SaintJames,1968,1980,Miller,Susan,F,1946,1984,determined and kooky,Am
S.Z. Sakall,1916,1954,Szakall,Eugene Gero,M,1884,1955,comic character,Hu
Harold Sakata,1963,1963,Sakata,Harold,M,1920,1982,character,Ko
Theresa Saldana,,,,,F,,1992,unknown,Ct
Charles Sale,1931,1936,Sale,Charles,M,1885,1937,character,Am
P.J. Sales,,,,,M,,1992,unknown,Ct
Soupy Sales,1966,1966,Hines,Milton,M,1926,1984,children's TV,Am
Peter Sallis,1956,1974,Sallis,Peter,M,1921,1984,bemused-looking,Br
Albert Salmi,1958,1981,Salmi,Albert,M,1928,1984,chubby,Am
Louis Salon,,,,,M,,1992,unknown,Ct
Jennifer Salt,1969,1980,Salt,Jennifer,F,1944,1984,lead,Am
Renato Salvatori,,,,,M,,1992,unknown,Ct
Tatania Samoilova,1957,1967,Samoilova,Tatania,F,1934,1984,lead,Ru
Will Sampson,1975,1978,Sampson,Will,M,1935,1984,character,Am
JoAnne Samuel,,,,,F,,1992,unknown,Ct
Henry Sanada,,,,,M,,1992,unknown,Ct
Jaime Sanchez,,,,,M,,1992,unknown,Ct
Salvatore Sanchez,,,,,M,,1992,unknown,Ct
Paul Sand,1972,1980,Sanchez,Paul,M,1944,1984,light,Am
Dominique Sanda,1970,1977,Varaigne,Dominique,F,1948,1984,lead,Fr
Walter Sande,1938,1956,Sande,Walter,M,1906,1972,character,Am
George Sanders,1936,1972,Sanders,George,M,1906,1972,suave cad,Br
Scott Sanders,1938,1938,Sanders,Scott,M,1885,1956,clubbable gentleman,Br
William Sanderson,,,,,M,,1992,unknown,Ct
Tiny Sandford,1917,1936,Sandford,Stanley J.,M,1894,1961,character,Am
Adam Sandler,1989,1999,Sandler,Adam,M,1966,1995,Comic,Am
Steve Sandor,,,,,M,,1992,unknown,Ct
Diana Sands,1961,1973,Sands,Diana,F,1934,1973,black,Am
Julian Sands,,,,,M,,1992,unknown,Ct
Tommy Sands,1957,1965,Sands,Tommy,M,1937,1984,singer,Am
Erskine Sanford,1940,1950,Sanford,Erskine,M,1880,1950,elderly gent,Am
Ralph Sanford,1938,1959,Sanford,Ralph,M,1899,1963,burly `good guy',Am
Laura SanGiacomo,1989,,San Giacomo,Laura,F,1952,1984,modern exotic,Am
Olga SanJuan,1944,1960,San Juan,Olga,F,1927,1984,vivacious dancer; comedienne,Am
Tom Santchi,,,,,M,,1992,unknown,Ct
Reni Santoni,1967,1983,Santoni,Reni,M,1939,1984,unknown,Am
Joe Santos,,,,,M,,1992,unknown,Ct
Tom Santschi,1909,1931,Santschi,Tom,M,1879,1931,silent lead,Am
Chris Sarandon,1975,1980,Sarandon,Chris,M,1942,1984,character,Am
Susan Sarandon,1974,1983,Tomaling,Susan Abigail,F,1946,1984,lead,Am
Dick Sargent,1957,1964,Sargent,Dick,M,1937,1994,gangling youth; beleaguered husband,Am
Michael Sarne,1960,1967,Sarne,Michael,M,1939,1984,light,Am
Michael Sarrazin,1966,1982,Sarrazin,Michael,M,1940,1984,young innocent,Ca
Jaqueline Sassard,1967,1968,Sassard,Jaqueline,F,1940,1984,lead,Fr
Ann Savage,1943,1953,Lyon,Bernie,F,1921,1984,lead,Am
Fred Savage,,,,,M,1976,1984,unknown,Ct
John Savage,1975,1982,Savage,John,M,1953,1984,babyfaced,Am
Vic Savage,,,,,M,,1992,unknown,Ct
Dany Saval,1958,1978,Salle,Danielle Nadine Suzanne,F,1940,1984,lead,Fr
George Savalas,,,,,M,,1992,unknown,Ct
Telly Savalas,1961,1979,Savalas,Aristotles,M,1924,1994,bald; jovial,Gr
Tom Savini,,,,,M,,1992,unknown,Ct
Jimmy Savo,1926,1938,Savo,Jimmy,M,1895,1960,pint-sized comedian,Am
Teresa Ann Savoy,,,,,F,,1992,unknown,Ct
Joseph Sawyer,1933,1956,Sawyer,Joseph,M,1901,1982,tough cop; army sergeant,Am
Peggy Sawyer,,,,,F,,1992,unknown,Ct
John Saxon,1955,1983,Orrico,Carmen,M,1935,1984,lead,Am
Greta Scacchi,1992,,Scacchi,Greta,F,1960,1984,beauty,It
Gia Scala,1956,1961,Scoglio,Giovanna,F,1934,1972,lead,It
Diana Scarwid,1978,1983,Scarwid,Diana,F,,1984,lead,Am
Felice Schacter,,,,,F,,1992,unknown,
Natalie Schafer,1943,1973,Schafer,Natalie,F,1912,1991,dizzy rich woman,Am
Wendy Schall,,,,,F,,1992,unknown,
William Schallert,1952,1973,Schallert,William,M,1922,1984,dull father,Am
Sabrina Scharf,,,,,F,,1992,unknown,
Roy Scheider,1964,1983,Scheider,Roy,M,1934,1984,lean,Am
Catherine Schell,1969,1979,vonSchell,Catherine,F,,1984,character,Ge
Maria Schell,1949,1979,Schell,Maria,F,1926,1984,lead,Os
Maximilian Schell,1958,1982,Schell,Maximilian,M,1930,1984,lead,Os
Ronnie Schell,,,,,,,1992,unknown,
August Schellenberg,,,,,M,,1992,unknown,
Mary Kate Schellhardt,,,Schellhardt,Mary Kate,F,1979,1995,young charmer,Ct
Rosanna Schiaffino,1962,1976,Schiaffino,Rosanna,F,1939,1984,lead,It
Ralph Schicha,,,,,M,,1992,unknown,Ct
Claudia Schiffer,1999,,Schiffer,Claudia,F,19bb,1995,tall blonde,Du
Joseph Schildkraut,1914,1965,Schildkraut,Joseph,M,1895,1964,schlemiel,Os
Gus Schilling,1941,1956,Schilling,Gus,M,1908,1957,wry-faced,Am
Anja Schmidt,,,,,F,,1992,unknown,
Joseph Schmidt,1934,1935,Schmidt,Joseph,M,1906,1942,opera singer,Ge
John Schneider,,,,,M,,1992,unknown,
Magda Schneider,1932,,Schneider,Magda,F,,1984,romantic,Os
Maria Schneider,1973,1980,Schneider,Maria,F,1952,1984,sexy lead,Ge
Romy Schneider,1953,1980,Albach-Retty,Rosemarie,F,1938,1982,schmaltzy,Os
Michael Schoeffling,,,,,M,,1992,unknown,
Kyra Schon,,,,,F,,1992,unknown,Ct
Avery Schreiber,,,,,M,,1992,unknown,
Max Schrek,1922,1923,Schrek,Max,M,1879,1936,eerie,Ge
Rick Schroder,1979,1990,Schroder,Ricky,M,1970,1984,child actor; scary,Am
John Schuck,1973,1979,Schuck,John,M,1944,1984,dumb sergeant,Am
Dwight Schultz,,1997,Schultz,Dwight,M,,1992,shy engineer,Am
Reinhold Schunzel,1919,1952,Schunzel,Reinhold,M,1886,1954,unknown,Ge
Scott Schwartz,,,,,M,,1992,unknown,
Maurice Schwarz,1953,1953,Schwarz,Maurice,M,1891,1960,unknown,Am
Arnold Schwarzenegger,1976,1990,Schwarzenegger,Arnold,M,1947,1984,muscleman,Am
Hanna Schygulla,1972,1981,Schygulla,Hanna,F,1943,1984,exotic,Ge
John Schyck,,,,,M,,1992,unknown,Ct
Patti Scialfa,,,,,F,,1984,ty, Or
Annbelle Sciorra,1988,1991,Sciorra,Annabelle,F,,1984,strong,Am
Paul Scofield,1955,1973,Scofield,Paul,M,1922,1984,distinguished,Br
Edith Scon,,,,,F,,1992,unknown,Ct
Zvee Scooler,,,,,,,1992,unknown,Ct
Martin Scorsese,1973,1990,Scorcese,Martin,M,,1992,unknown,Ct
Campbell Scott,1991,,Scott,Campbell,M,,,,Am
David Scott,,,,,M,,1992,unknown,Ct
Donovan Scott,,,,,M,,1992,unknown,Ct
George C. Scott,1958,1983,Scott,George Campbell,M,1926,1999,tough soldier,Am
Gordon Scott,1955,1967,Werschkul,Gordon M.,M,1927,1984,lead,Am
Hazel Scott,1943,1945,Scott,Hazel,F,1920,1983,black pianist,Am
Jane Scott,,,,,F,,1992,unknown,Ct
Janette Scott,1942,1965,Scott,Janette,F,1938,1984,lead,Br
Kathryn Leigh Scott,1970,,Scott,Kathryn Leigh,F,1947,1984,beauty,Am
Ken Scott,1957,1966,Scott,Ken,M,,,action lead,Am
Lizabeth Scott,1945,1972,Matzo,Emma,F,1922,1984,defiant expression; immobile upper lip,Am
Margaretta Scott,1934,1971,Scott,Margaretta,F,1912,1984,upper-middle-class women,Br
Martha Scott,1940,1980,Scott,Martha,F,1914,1984,unknown,Am
Mary Scott,1956,,Scott,mary,F,,1992,unknown,Ct
Pippa Scott,1958,1970,Scott,Pippa,F,1935,1984,unknown,Am
Randolph Scott,1931,1962,Crane,Randolph,M,1903,1987,rugged,Am
Terry Scott,1958,1972,Scott,Terry,M,1927,1984,plump,Br
Zachary Scott,1944,1962,Scott,Zachary,M,1914,1965,lead,Am
Vito Scotti,,,,,M,,1992,unknown,Ct
Scraps,1918,,Scraps,none,A,1914,1984,lovable mongrel,Am
Alexander Scourby,1952,1960,Scourby,Alexander,M,1913,1984,character,Am
Linda Scruggs,,,,,F,,1992,unknown,Ct
Steven Seagal,1988,1992,Seagal,Steven,M,1952,1984,martial arts; cool shooter,Am
Barbara Seagull,1968,1983,Herzstine (Hershey),Barbara,F,1948,1984,lead,Am
Franklyn Seales,,,,,M,,1992,unknown,Ct
Jackie Searle,1931,1949,Searle,Jackie,M,1920,1984,mean boy,Am
Heather Sears,1956,1975,Sears,Heather,F,1935,1984,unknown,Br
Victor Seastrom,1913,1957,Sjostrom,Victor,M,1879,1960,distinguished,Sw
James Seay,,,,,M,,1992,unknown,Ct
Josef Sebanek,,,,,M,,1992,unknown,Ct
Jean Seberg,1957,1976,Seberg,Jean,F,1938,1979,lead,Am
Harry Secombe,1957,1973,Secombe,Harry,M,1921,1984,burly comedian,Br
George Segal,1961,1999,Segal,George,M,1934,1984,lead,Am
Vivienne Segal,1930,1933,Segal,Vivienne,F,1897,1984,supporting,Am
Pierre Segui,,,,,M,,1992,unknown,Ct
Emmanuelle Seigner,1994,,Seigner,Emmanuelle,F,1967,1984,gauche; sexy,Fr
Johnny Sekka,1961,1975,Sekka,Johnny,M,,,unknown,WA
David Selby,1970,,Selby,David,M,1941,1984,werewolf,Am
Elizabeth Sellars,1948,1973,Sellars,Elizabeth,F,1923,1984,lead,Br
Tom Selleck,1969,1984,Selleck,Tom,M,,1984,charismatic,Am
Peter Sellers,1951,1979,Sellers,Peter,M,1925,1980,comic,Br
Morton Selten,1932,1940,Stubbs,Morton,M,1860,1940,distinguished old gentlemen,Br
Milton Selzer,,,,,M,,1992,unknown,Ct
Larry Semon,1918,1927,Semon,Larry,M,1889,1928,silent slapstick comedian,Am
Kent Senatore,,,,,M,,1992,unknown,Ct
Joe Seneca,,,,,M,,1992,unknown,Ct
Massimo Serato,1941,1973,Segato,Giuseppe,M,1917,1984,lead,It
Assumpta Serna,,,,,F,,1992,unknown,Ct
Jacques Sernas,1931,1969,Sernas,Jacques,M,1925,1984,lead,Li
Julieta Serrano,,,,,F,,1992,unknown,Ct
Christopher Serrone,1990,,Serrone,Christopher,M,1976,,teenager,Am
Jean Servais,1931,1969,Servais,Jean,M,1910,1976,character,Fr
Almira Sessions,1941,1972,Sessions,Almira,F,1888,1974,character,Am
Sir Bruce Seton,1934,1954,Seton,Bruce,M,1909,1969,lead,Br
Pilar Seurat,1963,,Seurat,Pilar,F,,1984,unknown,Or
George Sewell,1963,1971,Sewell,George,M,1924,1984,character,Br
Athene Seyler,1922,1963,Seyler,Athene,F,1889,1990,comedy,Br
Anne Seymour,1949,1962,Seymour,Anne,F,1909,1984,character,Am
Dan Seymour,1942,1975,Seymour,Dan,M,1915,1982,scowling menace,Am
Jane Seymour,1970,1983,Seymour,Jane,F,1951,1984,lead,Br
Ralph Seymour,,,,,M,,1992,unknown,Ct
Delphine Seyrig,1958,1977,Seyrig,Delphine,F,1932,1990,lead,Fr
Kamran Shah,1987,,Shah,Kamran,F,,1992,unknown,Ct
ShabbaDoo,,,,,,,1992,unknown,Ct
Glen Shadix,,,,,M,,1992,unknown,Ct
Wallace Shaen,,,,,M,,1992,unknown,Ct
Paul Shaffer,,,,,M,,1992,unknown,Ct
Tupac Shakur,1995,1996,Shakur,Tupac Amaru>,M,1971,1996,wild rapper,Am
