pcode,did,lname,fname,,,background/0,yearstart,yearend
D,ChK,Kaige,Chen,,,Ch,1993,
D,MKv,Kalatozov,Mikhail,1903,1973,Ru,1928,1969
D,ToK,Kalin,Tom,,,Am,1992,
D,AnK,Kam,Andrew,19xx,19yy,HK,1988,
D,LnK,Kaminsky,Leon,,,Ct,1971,
D,JGK,Kan,Je Gyu,1960,,,1998,
D,JKa,Kane,Joe,1894,1975,Am,1935,1957
D,JKw,Kanew,Jeff,,,,1983,1986
D,CTK,Kanganis,Charles T.,19xx,,Ct,1994,1996
D,MKa,Kanievska,Marek,,,,1984,
W,GaK,Kanin,Garson,1912,,Am,1938,1953
D,BKp,Kaplan,Betty,,,Ct,1996,
D,JKp,Kaplan,Jonathan,,,Am,1975,1999
D,NKp,Kaplan,Nelly,,,Fr,1961,1991
D,RKp,Kaplan,Richard,,,Am,1965,
D,RjK,Kapoor,Raj,,1988,In,1971,
D,SKa,Kapur,Shehkar,,,Ct,1998,
D,MKb,Karbelnikoff,Michael,,,,1991,
D,LeK,Kardos,Leslie,,,Am,1952,
D,BiK,Karn,Bill,,,Am,1960,
A,GiK,Karnad,Girish,,,In,1970,
D,ErK,Karsen,Eric,,,Am,1980,1989
D,PhK,Karlstein,Philip,1908,,Am,1944,1975
D,TeK,Karya,Teguh,,,II,1982,
D,JoK,Kasdan,Joe,,,Am,1998,
W,LaK,Kasdan,Lawrence,,,Am,1982,1989
P,,Kasha,Larry,,1990,Am,,
D,MuK,Kassovitz,Mathiau,1969,,Fr,1994,
D,PeK,Kassovitz,Peter,,,Ct,1999,
D,LKa,Kastle,Leonard,,,,1970,
D,TKa,Katani,Tom,,,,1981,
W,HaK,Katchatrian,Haroutiun,19xx,,,1992,
D,MiK,Katselas,Milton,1933,,Am,1972,1979
D,DKa,Katsouridis,Dinos,19xx,,Gr,1971,
P,JKt,Katzenberg,Jerry,,,Am,1998,
P,,Katzman,Sam,,,Am,1967,
D,LHK,Katzin,Lee H.,1935,,Am,1969,1979
D,JKf,Kaufer,Jonathan,,,Ct,1998,
C,,Kaufman,Boris,,,Fr,1934,
W,,Kaufman,Charlie,1958,2004,Am,1990,2005
W,GSK,Kaufman,G.S.,,,Am,1947,
D,JKm,Kaufman,Joseph,,,Am,1918,
D,PK,Kaufman,Philip,,,Am,1978,1993
W,MnK,Kaul,Mani,19xx,,In,1990,
D,AKa,"Kaurism""aki",Aki,,,Fi,1983,1993
D,HeK,"K""autner",Helmut,1908,1980,,1947,1955
D,OKa,Kavur,Omer,,,Tu,1991,
D,YoK,Kawajiri,Yoshiaki,,,Ja,1979,
D,JKz,Kawalarowicz,Jerzy,,,Po,1966,
C,TyK,Kaye,Tony,,,Br,1998,
D,RKa,Kaylor,Robert,,,Am,1980,
A,EK,Kazanjoglous,Elia,1909,,,1945,1976
W,NKz,Kazan,Nicholas,,,Ct,1994,
A,BsK,Keaton,Joseph Francis,1895,1966,Am,1920,1938
A,DiK,Keaton,Diane,,,Am,1999,
D,SKe,Keeler,Stephen,19xx,199x,Ct,1997,
D,WmK,Keighley,William,1889,,Am,1932,1953
D,HKl,Keller,Harry,1913,,Am,1949,1965
W,IPK,Kelley,John Patrick,19xx,199x,Ct,1997,
P,,Kelly,David E.,1956,,Am,1993,
A,GKe,Kelly,Eugene Curran,1912,,Am,1949,1976
D,BuK,Kennedy,Burt,,,Am,1964,1969
D,EaK,Kenton,Earle C.,,,Am,1932,1942
D,RlK,Kerbosch,Roweland,19xx,,,1993,
D,IKe,Kerkhof,Ian,,,Ct,1992,
D,JVK,Kern,James V.,1909,1966,Am,1939,1952
D,IrK,Kershner,Irvin,1923,,Am,1958,1990
D,AKe,Keshishian,Alek,1965,,Am,1991,1994
D,MKh,Khan,Mohammed,19xx,,,1988,
W,RKi,Kibbee,Roland,1914,,Ct,1975,
D,BKi,Kidron,Beeban,,,Ct,1992,
D,FKi,Kiersch,Fritz,,,,1984,
D,KrK,Kieslovski,Krzysztof,1941,1996,Po,1982,1990
C,,Kimball,Jeffrey,,,Am,1987,
D,KDK,Kim,Kee-Duck,,199x,,1997,
A,AKi,Kimmins,Anthony,1901,1964,Br,1937,1962
D,TKg,Kinegusa,Tenosuke,19xx,,Ja,1954,
D,BtK,King,Burton,,,Ct,1923,
P,GeK,King,George,1900,1966,Br,1931,1954
D,HK,King,Henry,1888,1982,Am,1916,1961
D,LoK,King,Louis,1898,1962,Am,1934,1954
D,RkK,King,Rick,,,Am,1993,
B,SpK,King,Stephen,1948,,Am,1986,
W,ZlK,King,Zalman,,,Am,1985,
D,AbK,Kiarostami,Abbas,19xx,19yy,,1996,
D,MkK,Kitchell,Mark,,,Am,1969,
D,RyK,Kinoshita,Ryo,,199x,Ja,1966,
D,TKi,Kitano,Takeshi,,,Ja,1991,
W,MKi,Kitrosser,Martin,19xx,,Ct,1991,
A,AKj,Kjellin,Alf,,,,1961,1965
D,RKl,Klane,Robert,,,Am,1978,
W,CKl,Klapisch,Cedric,,199x,Fr,1997,
D,DKl,Klaus,Damien,,,Ct,1991,
D,WKl,Klein,William,,,,1966,1985
M,,Kleiner,Arthur,,,Os,1927,
D,RaK,Kleiser,Randal,,,,1975,1992
D,MKl,Klier,Michael,,,Ct,1991,
D,SKo,Kloves,Steve,,,,1989,
D,BeK,Knowles,Bernard,,,Am,1948,
D,MKy,Kobayashi,Masaki,,,Ja,1983,
D,HoK,Koch,Howard W.,1903,1992,Am,1954,1958
D,VKo,Koepp,Volker,,19yy,Ge,1996,
P,,Kohlmar,Fred,,,Am,1947,1967
D,MKo,Koike,Matsato,,,Ja,1985,
D,YKo,Kojima,Yasufumi,,,Ja,1990,
D,AKl,Kollek,Amos,,,Ct,1998,
D,XaK,Koller,Xavier,,,Zw,1990,
D,AKo,Konchalovsky,Andrei,,,,1985,1990
D,BaK,Kopple,Barbara,,,Am,1976,
P,AK,Korda,Sir Alexander,1893,1956,Hu,,
V,,Korda,Vincent,1896,1979,Hu,1932,1948
P,ZK,Korda,Zoltan,1895,1961,Hu,1932,1951
D,HKa,Kore-ada,Hirokazu,19xx,19yy,Ja,1995,1998
W,HyK,Korine,Harmony,1974,199x,Ct,1997,
M,,Korngold,Erich Wolfgang,1897,1957,Os,1934,1939
D,GKo,Korras,Giorgos,,,Gr,1988,
A,FNK,Kohn,Fritz Nathan,1892,1970,Os,1931,1961
D,IKo,Korty,John,1941,,Am,1965,1980
M,,Kosma,Joseph,19xx,,Fr,1938,
D,HKo,Kosterlitz,Hermann,1905,1988,Ge,1932,1966
A,KKo,Kostner,Kevin,19xx,199x,Am,1995,
D,TKo,Kotcheff,Ted,,,Am,1976,1983
D,NKo,Koundouros,Nikos,19xx,,Gr,1954,1978
C,,Kovacs,Laszlo,1933,,Hu,1955,1994
D,ZKK,Kovacs,Zsolt Kezdi,,,Hu,1987,
D,BKo,Kowalski,Bernard,,,Am,1968,
A,JKr,Krabbe,Jeroen,,,,1998,
W,,"Kr""aly",Hans,,,Ge,1915,1927
D,FKr,Parrolini,Gianfranco,,,It,1970,
P,SK,Kramer,Stanley,,2001,Am,1955,1983
D,AKr,Kranenborg,Arno,,,Ne,1996,
P,,Krantz,Steve,,,Am,1971,
C,,Krasner,Milton,,,Am,1955,
D,HKr,Kress,Harold F.,19xx,,Ct,1951,
D,SuK,Krishnamma,Suri,19xx,,Ct,1995,
D,VyK,Krishtofovich,Vyacheslav,,,Ru,1992,1998
W,StK,Kubrick,Stanley,1928,1999,Am,1953,1999
D,AKu,Kuehn,Andrew,,,Am,1984,
D,LvK,Kuleshov,Lev,,,Ru,1926,1927
D,BzK,Kulik,Buzz,,,,1968,1980
D,EdK,Kull,Edward,,,Am,1935,1938
D,IKu,Kumar,Indra,,,In,1998,
D,HKu,"K""umel",Harry,,,Be,1971,
W,,Kundera,Milos,19bb,,Cz,,
D,HfK,Kureishi,Hanif,,,Ct,1991,
D,DKu,KuryS,Diane,,,Fr,1953,
D,AkK,Kurosawa,Akira,1910,1998,Ja,1943,1991
W,EKu,Kusturica,Emir,,,,1989,
D,FRK,Kuzui,Fran Rubel,,,Ct,1992,
D,SKw,Kwan,Stanley,1957,,HK,1980,1995
D,KKw,Kwapis,Ken,,199x,,1996,
D,NLB,LaBute,Nick,,199x,,1997,
D,GLC,La Cava,Gregory,1892,1952,Am,1925,1947
W,JqL,Lacerte,Jaques,,,Ct,1972,
D,JPL,Le Chanois,Jaea-Paul,19xx,,Fr,1948,
D,HLa,Lachman,Harry,1886,1968,,1928,1942
D,GLa,Lacombe,Georges,,,Fr,1942,
P,,Laemmle,Carl,1867,1939,Ge,1906,1935
D,ELa,Laemmle,Ernst,,,Ge,1929,
P,,Laemmle,Carl Jr,1908,1979,Ge,1923,1936
W,ILf,Lafia,John,19xx,,Ct,1993,
W,RLG,LaGravenese,Richard,,,Ct,1998,
W,FLg,Lalogia,Frank,1958,,Ct,1981,
D,CLa,Lalouche,Claude,,,Fr,1995,
D,RLa,Laloux,Rene,,,Fr,1973,
C,ILb,Lamb,John,,,Am,1961,1965
D,MLa,Lambert,Mary,,,,1989,
D,MLa,Lambert,Mary,,,,1989,
D,CLa,Lamont,Charles,1898,,Am,1925,1956
D,AlL,Lamorisse,Albert,1922,1970,Fr,1949,1964
D,GLm,Lampin,Georges,19xx,,Fr,1946,
D,GLp,Lamprecht,Gerhard,,,Ge,1924,1931
D,ChL,Lane,Charles,1944,,Am,1976,
D,LLa,Landers,Lew,,,Am,1949,1953
D,ILa,Landis,John,1950,,Am,1963,1983
D,ILd,Landon,John,,,,1994,
P,MLn,Landon,Michael,,1991,,1976,
D,PLd,Landres,Paul,19xx,,Ct,1957,
M,SLa,Lanfield,Sidney,1900,1972,Am,1932,1952
C,,Lang,Charles,,,Am,1932,1956
C,,Lang,Charles Jr.,,,Am,1961,1983
D,FL,Lang,Fritz,1890,1976,Ge,1919,1958
P,,Lang,Jennings,,,Am,1983,
D,RiL,Lang,Richard,,,Am,1978,
D,WLa,Lang,Walter,1896,1972,Am,1927,1961
A,HLg,Langdon,Harry,1884,1944,Am,1928,1944
D,AML,Lanza,Anthony M.,,,Am,1970,
D,CLz,Lanzman,Claude,,,Am,1985,
D,JLp,Lapine,James,,,,1991,
D,JLr,Larraz,Joseph,,,Ct,1971,
D,OrL,Laskos,Orestes,19xx,,Gr,1931,1932
P,,Lasky,Jesse L.,1880,1958,Am,1914,
D,ILt,Lasseter,John,19xx,199x,Ct,1985,1998
C,,Laszlo,Andrew,1926,199x,,1964,1992
C,,Laszlo,Ernest,1905,1984,,1929,1977
C,,Laszlo,Ernest,,199x,Am,1985,1991
D,MSL,Laughlin,Michael S.,,,Am,1971,1981
A,ToL,Frank,Tom C.,,,,1967,1971
A,CL,Laughton,Charles,1899,1962,Br,1955,
W,FLd,Launder,Frank,1907,,Br,1943,1965
D,GLt,Lautner,Georges,,,,1963,1990
W,JLz,Lauzon,Jean-Claude,,,Ca,1990,1992
D,ALv,Laven,Arnold,,,Am,1953,1964
D,JLa,Lavin,Julianna,19xx,199x,Ct,1995,
D,AsL,Lazarus,Ashley,,,Am,1977,
D,MLz,Lazarus,Margaret,,,Am,1993,
C,RhL,Leacock,Richard,1921,,Br,1960,1968
D,RtL,Leacock,Robert,,,Br,1994,
D,PhL,Leacock,Philip,1917,,Br,1952,1980
D,WiL,Leach,Wilford,,,Br,1982,
E,DL,Lean,David,1908,,Br,1942,1984
P,,Lear,Norman,1926,,Am,1967,1972
D,RLB,Le Borg,Reginald,,,Ct,1944,1956
B,id,Cromwell,David,1932,199x,Br,1999,
D,PLe,Leconte,Patrice,,,Fr,1990,2000
D,HJL,Leder,Herbert J.,,,,1969,
D,MmL,Leder,Mimi,19xx,199x,Ct,1997,
D,xLe,Lederman,fn,,,Am,1938,
D,PLu,Leduc,Paul,19xx,,Ct,1986,
D,AnL,Lee,Ang,,,,1992,2000
D,MlL,Lee,Malcolm,19xx,19yy,Ct,1999,
D,NoL,Lee,Norman,,,Br,1929,1950
D,RVL,Lee,Rowland V.,1891,1975,Am,1926,1945
D,QuL,Lee,Quentin,,,Ct,1998,
W,,Lee,Robert E.,1919,1994,Am,,
M,SLJ,Jones,Spike Lee,,,Am,1986,1998
D,HIL,Levy,Herbert I.,1900,1954,Am,1938,1951
D,PLf,Lefebvre,Philippe,19xx,,Fr,1983,
D,GuL,Lefranc,Guy,19xx,,Fr,1968,
VD,FeL,Leger,Fernand,1891,1955,Fr,1922,1946
M,,Legrand,Michel,,,,1960,1969
W,ELh,Lehman,Earnest,1920,,Am,1972,
D,MLm,Lehman,Michael,,,Am,1989,
D,J2L,Leigh,Jennifer,,,Br,2001,
D,MiL,Leigh,Mike,,,Br,1971,1993
V,ML,Leisen,Mitchell,1898,1972,Am,1933,1957
W,DLe,Leland,David,,,Br,1997,
D,ClL,Lelouch,Claude,1937,,Fr,1960,1995
D,YLM,Le Moine,Yvan,19xx,19yy,Ct,1999,
D,JLe,Lemmon,Jack,,,Am,1974,
A,KLe,Lemmons,Kasi,19xx,199x,Am,1997,
D,PlL,Leni,Paul,1885,1929,Am,1924,1929
W,,Lennart,Isobel,,,Am,1968,
D,MLe,Leo,Malcolm,,,Am,1981,
D,ILn,Leone,John,,,Am,1976,
D,SeL,Leone,Sergio,1921,,It,1961,1984
A,BrL,Leonard,Brett,,,Am,1992,1995
D,RLp,LePage,Robert,,,Ca,2000,
A,RZL,Leonard,Robert Z.,1889,1968,Am,1927,1956
E,IrL,Lerner,Irving,,,Am,1958,
D,FLr,Leroi,Frances,,,Ct,1992,
B,GaL,Leroux,Gaston,1868,,Fr,,
A,MLR,LeRoy,Mervyn,1900,1987,Am,1927,1965
D,SLr,Leroy,Serge,,,Am,1982,
D,EJL,Le Saint,Edward J.,,,,1916,
W,ILs,Leslie,John,,,Am,1992,
D,MLs,Lessac,Michael,,,Ct,1992,
P,,Lesser,Sol,,,Am,1949,1955
D,MLt,Lester,Mark L.,,,,1979,1984
D,RDL,Lester,Richard Dick,1932,,Am,1961,1984
D,SLe,Lettich,Sheldon,,,Ct,1991,
D,BLv,Levant,Brian,,,Ct,1992,1994
D,WLe,Levey,William,,,Am,1977,
D,HeL,Levin,Henry,1909,1980,Am,1943,1977
P,,Levine,Joseph E.,,199x,,1997,
W,BLe,Levinson,Barry,1932,,Am,1982,1992
D,FLe,Levinson,Fred,,,Am,1972,
D,GLe,Levitt,Gene,,,Am,1974,
D,,Levy,Benn W. ,,,,1932,
W,DLv,Levy,Dani,,,Ct,1999,
D,JLv,Levy,Jefery,19xx,,Ct,1994,
M,,Levy,Louis,1893,,Br,1920,1947
D,SLw,Lewicki,Stephen,,,Am,1977,
W,ALe,Lewin,Albert,1895,1968,Am,1942,1957
D,BLw,Lewin,Ben,,,Au,1992,
P,,Lewis,Albert E.,1884,1978,,,
D,GLw,Lewis,Gough,,,Ct,2000,
W,HGL,Lewis,Herschell Gordon,,,Am,1964,1968
A,JL,Lewis,Jerry,,,Am,1960,1964
D,JHL,Lewis,Joseph H.,1900,,Am,1940,1958
D,RoL,Lewis,Robert,,,Am,1956,1980
P,,Lewton,Val,,,,1942,1943
D,JsL,Leytis,Joseph,,,,1962,
D,LHe,LHerbier,Marcel,,,Fr,1919,1947
D,SHL,Li,ShaoHong,19xx,,Ch,1991,
D,HLv,Libov,Howard,19xx,,Ct,1994,
D,RLi,Lieberman,Robert,,,Am,1980,1993
D,MLi,Light,Mike,,,Am,1974,
D,WaL,Lima,"Walter Jr.",,,Bz,1965,
D,DLi,Liman,Doug,1965,199x,Am,1994,
D,PLi,Lindeberg,Per,19xx,,Sw,1940,
D,MLH,Lindsay-Hogg,Michael,,,Br,1976,1991
A,LeL,Lindtberg,Leopold,1902,,,1928,1954
D,CLi,Link,Caroline,,,Ct,1998,
D,RLl,Linklater,Richard,,,,1991,1997
D,ALi,Linson,Art,,,Am,1980,
D,ALs,Lipstadt,Aaron,,,Am,1982,
D,StL,Lisberger,Steven,,,Am,1982,
D,DHL,Little,Dwight H.,,,Am,1989,1995
D,JLw,Littlewwod,Joan,1914,,Br,1963,
D,LyL,Littman,Lynne,,,,1983,
D,AL,Litvak,Anatole,1902,1974,Ru,1931,1970
D,JLi,Livingston,Jennie,,,Am,1991,
D,LLl,Llosa,Luis,19xx,,Ct,1993,
A,FLl,Lloyd,Frank,1887,1960,,1917,1955
A,HL,Lloyd,Harold,1894,1971,Am,1917,1930
A,NLl,Lloyd,Norman,1914,,Br,1960,1964
P,,Lloyd,Robert,,,,1934,
D,KLo,Loach,Ken,1939,,Br,1965,1994
A,SLo,Locke,Sondra,,,Am,1988,1990
W,BoL,Logan,Bob,,,Am,1981,
W,JoL,Logan,Joshua,1908,,Am,1938,1969
D,KLg,Loginotto,Kim,,,Ct,1998,
W,VLo,Lokkeberg,Vibeke,19xx,,No rwegian,1980,
D,RLo,Loncraine,Richard,,,,1982,1995
D,JeL,London,Jerry,,,,1986,
D,TLo,Lopez,Temistocles,,,Ct,1993,
D,JCL,Lord,Jean Claude,,,,1981,
D,PeL,Lord,Peter,,,GB,1999,
A,PLo,"L""owenstein",Laszlo,1904,1964,Hu,1951,
D,GlS,lo Savio,Gerolamo,19xx,,It,1910,
D,JLo,Losey,Joseph,1909,,Am,1948,1983
D,EuL,Lourie,Eugene,,,Ct,1953,1961
V,,Louis,Jean,1908,1997,Ct,,
D,DLo,Lowry,Dick,,,Am,1983,
D,NaL,Loy,Nanni,19xx,,It,1984,
D,ArL,Lubin,Arthur,1901,,Am,1934,1971
A,EL,Lubitsch,Ernst,1892,1947,Ge,1914,1946
D,IML,Lucas,John Meredyth,,,,1956,1957
D,GgL,Lucas,George,1945,,Am,1971,1977
D,DLu,Luchetti,Daniele,19xx,,It,1994,
D,MLu,Lucidi,Maurice,,,,1976,
W,MLd,"L""udcke",Marianne,,,Ge,1974,
D,ELu,Ludwig,Edward,1899,1952,Am,1932,1963
D,BaL,Luhrmann,Baz,19xx,,Au,1992,2001
D,RLu,Lubetic,Robert,19xx,,Ct,2001,
D,SL,Lumet,Sidney,1924,,Am,1957,1997
D,ALu,Lumiere,Auguste,1862,1954,Fr,1895,
D,,Lumiere,Louis,1864,1948,Fr,1895,
D,BLu,Luna,Bigas,19xx,,Sp,1993,
W,PvL,Lungin,Pavel,1941,,Ru,1990,1999
A,IdL,Lupino,Ida,1914,,Br,1950,1961
D,HLu,Luske,Hamilton,,,Am,1955,
D,WLu,Lustig,William,,,Am,1982,
D,DLy,Lynch,David,,,,1978,1980
D,JLy,Lynch,Jennifer,,,,1993,
D,ILy,Lynch,John,,,GB,2000,
D,PLy,Lynch,Paul,,,Am,1980,
D,JnL,Lynn,Jonathan,,,Br,1990,1994
D,AdL,Lyne,Adrian,,,,1983,1993
D,FrL,Lyon,Francis D.,,,Am,1956,
W,CMA,MacArthur,Charles,1895,1956,Am,1935,1936
D,DMD,MacDonald,David,1904,1961,GB,1927,1961
D,RMc,MacDonald,Rodney,,,Ct,1992,
W,,Millar,Kenneth,,,Am,,
D,RMD,MacDougall,Ranald,,,Ct,1960,
D,HMF,MacFadden,Hamilton,1901,,Am,1930,1942
P,,Kenneth M.,1888,1963,Am,,,
W,GMy,Machaty,Gustav,1898,1963,Cz,1926,1945
D,RMk,Mack,Russell,19xx,,Ct,1933,
D,WMk,Mackay,Windsor,19xx,,Ct,1909,
W,SM,Mackendrick,Alexander,1912,,Am,1949,
D,IMz,Mackenzie,John,,,,1980,
D,GMK,MacKinnon,Gillies,,,Ir,1992,1999
D,SML,MacLaine,Shirley,,,Ct,1998,
D,AMc,McLean,Alison,19xx,,NZ,1989,2000
D,IMd,Madden,John,,,Ct,1993,1994
D,GuM,Maddin,Guy,,,Ca,1988,1998
B,,Maddow,Ben,1909,1992,Am,1950,
D,SMg,Macguire,Sharon,,,GB,2001,
W,PMa,Magwood,Paul,,,Am,1971,
W,MgM,Maggenti,Maggie,19xx,19yy,Am,1997,
D,LMi,Maggi,Luigi,,,It,1908,1914
B,NoM,Mailer,Norman,,,Am,1987,
D,xMa,Maisch,gn,,,Ge,1938,
D,MMj,Majidi,Majid,,,Ir anian,1999,
D,CrM,Mahlin,Charlie,,199x,,1997,
D,DuM,Makavejev,Dusan,,,,1981,1985
D,KMa,Makin,Kelly,19xx,19yy,Ct,1999,
D,KaK,Makk,Karoly,,,Hu,1982,
D,SMf,Makmalbaf,Samira,19xx,19yy,,1999,
D,MMf,Makmalbaf,Mohsen,19xx,19yy,,1996,
D,JMd,Maldonado,Jose,19xx,,,1989,
D,TMa,Malick,Terence,,,,1973,1999
D,LMa,Malle,Louis,1932,,Fr,1956,1990
D,BMa,Malmouth,Bruce,,,Am,1981,
D,NlM,Malmros,Nils,19xx,,Da,1992,
D,AMx,Malraux,Andre,,,Fr,1937,
D,WMa,Malone,William,19xx,19yy,Am,1995,
W,DMa,Mamet,David,,,Am,1987,1988
P,RM,Mamoulian,Rouben,1887,1987,Ru,,
D,MMa,Manchevski,Milcho,19xx,,Ct,1995,
M,,Mancini,Henry,1924,1994,Am,1954,1982
P,,Mancuso,"Frank Jr.",,,Am,1980,
D,RMa,Mandel,Robert,,,Am,1986,
D,LuM,Mandoki,Luis,,,,1990,1993
D,JMn,Mangold,James,,1964,,1995,1997
C,BbM,Mangolte,Babette,19xx,,Fr,1974,1994
W,,Mankiewicz,Don,1922,,Am,1955,1958
W,,Mankiewicz,Herman J.,1897,1953,Am,1926,1952
W,JLM,Mankiewicz,Joseph L.,1909,,Am,1929,1972
W,TmM,Mankiewicz,Tom,1942,,Am,1972,1987
W,,Mann,Abbey,1927,,Am,1961,1980
D,AnM,Bundesmann,Emil,1906,1967,Am,1942,1968
D,DaM,Mann,Daniel,1912,1991,Am,1952,1981
D,DeM,Mann,Delbert,1920,,Am,1955,1981
W,MM,Mann,Michael,,,Am,1979,1992
B,,Mann,Heinrich,1871,1950,Ge,1905,
V,,Mann,Ned,1893,1967,Am,1930,1956
D,RoM,Mann,Ron,1958,,Ca,1981,
B,,Mann,Thomas,1875,1955,Ge,,
D,AlM,March,Alex,,,Am,1965,
D,AMg,Margheriti,Antonio,,,Ct,1962,1964
D,SMa,Margolin,Stuart,,,Am,1979,
A,FbM,Mari,Febo,,,It,1917,
D,ELM,Marin,Edwin L.,1901,1951,Am,1932,1951
D,EuM,Marin,Eugenio,,,Am,1972,
D,GGM,Marino,Gustavo Graef,19xx,,Ct,1993,
D,EMr,Marischka,Ernst,,,Os,1955,
D,CMk,Bouche-Villeneuve,Christian,1921,,Fr,1952,1982
D,TMk,Marketaki,Tonia,19xx,,Gr,1984,
D,DMk,Markey,Dave,,,Am,1991,
W,,Markey,Gene,1895,1980,Am,1929,1947
D,FlM,Markle,Fletcher,1921,,Ca,1949,1963
D,PeM,Markle,Peter,,,Am,1984,1989
D,GoM,Markovic,Goran,,,Yu goslavia,1993,
D,RMw,Markowitz,Robert,1,,Ct,1983,1998
C,,Marley,J. Peverell,1901,,Am,1935,1939
D,CMq,Marquand,Christian,,,Ct,1981,
D,RMq,Marquand,Richard,,,Am,1981,1985
P,FrM,Marshall,Frank,,,,1990,1995
A,GM,Marshall,George,1891,1975,Am,1917,1969
D,GyM,Marshall,Gerry,,,,1982,2001
D,PnM,Marshall,Penny,,,,1990,
D,ScM,Marshall,Scott,,,,1997,
D,TnM,Marshall,Tonie,,,,1999,
D,PlM,Mart,Paul,,,Am,1966,
D,JqM,Martineau,Jaques,19xx,19xx,Fr,1999,
D,EgM,Martin,Eugenio,,,Sp,1972,
D,MiM,Martin,Michael,,,Ct,1998,
W,PaM,Martin,Paul,,,Ct,1934,
P,,Martini,Steve,19xx,19yy,Ct,1999,
D,LHM,Martinson,Leslie H.,,,Am,1955,1970
D,AMa,Marton,Andrew,,,,1954,1966
W,,Stone,Peter,1930,,Am,1963,1978
C,AMv,Marvin,Arthur,,,Am,1900,
D,EMv,Marvin,Edward L.,,,Am,1936,
D,JaM,Maslin,Janet,,,Am,1997,
D,HeM,Mason,Herbert,1891,1960,Br,1936,1945
D,QMa,Masters,Quentin,,,Am,1981,
D,PtM,Masterson,Peter,,,Am,1986,
D,AmM,Mastroianni,Armand,,,,1989,
D,YMa,Masumura,Yasuzo,,,Ja,1957,1965
W,EMt,Matalon,Eddie,19xx,,Ca,1977,
C,RdM,Mate,Rudolf,,,,1948,1949
A,TMt,Matheson,Tim,19xx,19yy,Am,1999,
D,BMs,Mattinsson,Burney,,,Am,1983,
D,AMs,Mattsson,Arne,1919,,Sw,1944,1978
P,NMa,Maurer,Norman,,,Ct,1963,
P,,Maxwell,John,1875,1940,,1928,
D,PMw,Maxwell,Peter,,,Am,1980,
W,RFM,Maxwell,Ronald F.,,,Am,1980,1993
D,BMy,May,Bradford,,,Br,1968,
D,EMa,May,Elaine,,,Br,1970,1987
D,JMa,Mandel,Joe,1880,1954,Ge,1915,1944
D,VMa,Mayakowski,Vladimir,,,Ru,1921,1929
W,,Mayer,Carl,,,Ct,1924,1936
A,NaM,Mayers,Nancy,1949,,Am,1980,2003
D,LMf,Mayfield,Les,19xx,199x,Ct,1997,
D,TMy,Maylam,Tony,,,Am,1978,
D,AM,Mayo,Archie,1891,1968,Am,1926,1957
P,id,Maysles,Albert,1926,1998,Am,1957,1998
P,id,Maysles,Albert,1932,1987,Am,1957,
A,PM,Mazursky,Paul,1938,,Am,1970,1989
D,PMz,Mazuy,Patricia,,,Fr,1999,
C,,McAlpine,Donald,19xx,,Am,1979,1993
D,DMc,McAnuff,Des,,,GB,1998,
D,JMB,McBride,James,1941,,Am,1968,1993
D,PMC,McCandless,Peter,1940,,,1990,
W,LMC,McCarey,Leo,1898,1969,Am,1929,1962
D,BMc,McCullough,Bruce,19xx,19yy,Ct,1999,
C,WMc,McCutcheon,Wallace,19xx,,Am,1903,
D,FMD,McDonald,Frank,,,Am,1936,1946
D,HMD,McDonald,Hettie,,,GB,1996,
D,VME,McEveety,Vincent,,,Am,1970,1992
D,WMG,McGann,William,,,Ct,1939,
D,JMG,McGrath,Joseph,,,Am,1968,1980
W,DMG,McGuire,Don,1919,,Am,1956,1957
D,RFG,McGowan,Robert F.,19xx,,Am,1922,1940
P,DMH,McHenry,Doug,19xx,,Ct,1991,1994
D,AVL,McLaglen,Andrew V.,1925,,Am,1956,1982
D,NLr,McLaren,Norman,,,Ct,1953,
D,NML,McLeod,Norman Z.,1898,1964,Am,1931,1959
B,,McMurty,Larry,,,Am,1963,1993
W,IMN,McNaughton,John,,,Am,1990,1993
W,id,McPherson,Scott,,1996,,1997,
D,HMR,McRae,Henry,,,Ct,1928,
D,IMT,McTiernan,John,,,Am,1988,1999
W,NkM,Meade,Nick,19xx,,Ct,1993,
D,PMe,Medak,Peter,,,Hu,1972,1994
D,JMm,Medem,Julio,19xx,,Ct,1994,
D,DM,Medford,Don,,,Am,1955,1971
D,LMg,Megahey,Leslie,19xx,,Ct,1994,
D,xMb,Mehboob,xfn,,,In,1957,
D,DMj,Mehrjui,Dariush,19xx,19yy,Ir anian,1999,
D,DpM,Mehta,Deepa,19xx,,In,1994,1996
D,GMn,Meins,Gus,,,Am,1934,
D,GMf,Melford,George,,,Am,1910,1923
D,GMs,Melies,Georges,1861,1938,Fr,1896,1912
P,BeM,Melniker,Benjamin,19xx,,Ct,1993,
D,JPM,Grumbach,JeanPierre,1917,1973,Fr,1947,1972
D,LoM,Mendes,Lothar,1894,1974,Hu,1927,1946
D,SMe,Mendes,Sam,19xx,19yy,Br,1999,
D,GMx,Mendelux,George,,,,1980,1986
D,FMe,Mendez,Fernando,19xx,,Me,1957,
D,JMr,Merendino,James,19xx,19yy,Ct,1998,
D,RaM,Menendez,Ramon,,,Am,1989,
C,CMe,Menges,Chris,,,Ct,1991,1992
D,NMk,Menkes,Nina,,,Ct,1990,
